n1327_u32_id,n671_u32_id,n316_u32_id,n13_u32_id,n4_u32_id
537,351,351,803,623
498,351,351,803,623
505,351,351,803,623
513,351,351,803,623
546,351,351,803,623
521,351,351,803,623
554,351,351,803,623
562,351,351,803,623
529,351,351,803,623
367,351,351,803,623
569,351,351,803,623
578,351,351,803,623
585,351,351,803,623
594,351,351,803,623
602,351,351,803,623
287,287,287,803,623
343,0,0,0,343
1129,0,0,0,343
549,549,0,549,343
864,549,0,549,343
637,549,0,549,343
629,629,629,549,343
685,685,685,549,343
709,549,0,549,343
718,718,718,549,343
725,725,725,549,343
733,733,733,549,343
741,741,741,549,343
563807435,563807435,563807435,549,343
406,549,0,549,343
414,414,414,549,343
422,422,422,549,343
609,609,609,549,343
1044,1044,1044,549,343
1008,549,0,549,343
475,549,475,549,343
1072,1072,475,549,343
1079,1079,475,549,343
1088,1088,475,549,343
170,549,170,549,343
496345664,496345664,170,549,343
496345668,496345668,170,549,343
496345672,496345672,170,549,343
856,549,0,549,343
138,549,0,549,343
218,218,218,549,343
1020,1020,1020,549,343
1029,1029,1029,549,343
325,325,325,549,343
560581551,560581551,0,549,343
560581555,549,0,549,343
239,549,0,549,343
255,255,255,549,343
127,549,127,549,343
1096,1096,127,549,343
1104,1104,127,549,343
64,64,64,549,343
1120,1120,1120,549,343
1113,1113,1113,549,343
155,155,155,549,343
444,549,0,549,343
59,59,59,549,343
362,362,362,549,343
617,362,362,549,343
626,362,362,549,343
636,362,362,549,343
366,366,366,549,343
1077,1077,1077,549,343
571,549,0,549,343
149,149,149,549,343
15,15,15,549,343
181,181,181,549,343
560581559,560581559,560581559,549,343
51,549,0,549,343
189,189,189,549,343
599,599,599,549,343
907,907,907,549,343
575,575,575,549,343
930,930,930,549,343
560581563,560581563,560581563,549,343
262,262,262,549,343
1014,549,0,549,343
27,27,27,549,343
563807439,563807439,563807439,549,343
178,178,178,549,343
300,178,178,549,343
316,178,178,549,343
321,321,321,549,343
958,549,0,549,343
483,483,483,549,343
186,186,186,549,343
953,549,0,549,343
1097,1097,0,1097,343
157,1097,0,1097,343
390,390,390,1097,343
332,332,332,1097,343
432,332,332,1097,343
38,38,38,1097,343
71,38,38,1097,343
47,38,38,1097,343
79,38,38,1097,343
103,38,38,1097,343
652,38,38,1097,343
660,38,38,1097,343
94,38,38,1097,343
55,38,38,1097,343
87,38,38,1097,343
110,38,38,1097,343
30,30,30,1097,343
118,118,118,1097,343
223,223,223,1097,343
141,1097,0,1097,343
72,72,72,1097,343
80,1097,0,1097,343
263,263,263,1097,343
272,272,272,1097,343
830,830,830,1097,343
668,830,830,1097,343
676,830,830,1097,343
684,830,830,1097,343
452,452,452,1097,343
523,523,523,1097,343
763,763,763,1097,343
914,914,914,1097,343
1109,1109,1109,1097,343
1124,1097,0,1097,343
126,126,126,1097,343
133,133,133,1097,343
347,347,347,1097,343
286,286,286,1097,343
338,338,338,1097,343
576073699,576073699,576073699,1097,343
689,689,689,1097,343
467,1097,0,1097,343
88,88,88,1097,343
700,88,88,1097,343
708,88,88,1097,343
716,88,88,1097,343
724,88,88,1097,343
331,1097,0,1097,343
210,210,210,1097,343
491,1097,491,1097,343
732,732,491,1097,343
606826647,606826647,491,1097,343
606826651,606826651,491,1097,343
606826655,606826655,491,1097,343
606826659,606826659,491,1097,343
525,525,525,1097,343
1110,525,525,1097,343
1118,525,525,1097,343
557,1097,0,1097,343
1126,1126,1126,1097,343
1,1,1,1097,343
515,515,515,1097,343
740,515,515,1097,343
748,515,515,1097,343
756,515,515,1097,343
980,980,980,1097,343
1004,1004,1004,1097,343
63,63,63,1097,343
439,63,63,1097,343
447,63,63,1097,343
455,63,63,1097,343
464,63,63,1097,343
693,693,693,1097,343
761,693,693,1097,343
769,693,693,1097,343
777,693,693,1097,343
785,693,693,1097,343
946,946,946,1097,343
290,1097,0,1097,343
194,194,194,1097,343
226,226,226,1097,343
356,356,356,1097,343
364,364,364,1097,343
576073704,576073704,576073704,1097,343
173,173,173,1097,343
470,470,470,1097,343
614,614,614,1097,343
797,797,797,1097,343
796,797,797,1097,343
804,804,797,1097,343
10671,10671,10671,1097,343
313,313,0,313,343
339,313,0,313,343
302,313,302,313,343
851,851,302,313,343
842,842,302,313,343
834,834,302,313,343
4,313,4,313,343
811,811,4,313,343
820,820,4,313,343
828,828,4,313,343
580,580,580,313,343
271,271,271,313,343
874,874,874,313,343
460,460,460,313,343
599626923,599626923,599626923,313,343
323,313,0,313,343
381,381,381,313,343
749,749,749,313,343
607344830,607344830,607344830,313,343
246,246,246,313,343
128,128,128,313,343
539,128,128,313,343
548,128,128,313,343
555,128,128,313,343
294,313,294,313,343
26,26,294,313,343
42,42,294,313,343
17,17,294,313,343
10,10,294,313,343
494,10,294,313,343
503,10,294,313,343
511,10,294,313,343
795,795,795,313,343
50,50,795,313,343
67,67,795,313,343
587,587,795,313,343
614454277,614454277,795,313,343
1100,313,0,313,343
215,215,215,313,343
531,531,531,313,343
628,628,628,313,343
634,634,634,313,343
706,706,706,313,343
1061,1061,1061,313,343
549009203,549009203,0,313,343
549009207,313,0,313,343
616,616,616,313,343
214,214,214,313,343
35,35,35,313,343
