name,stems,branches,overall_width,overall_height,overall_depth,overall_volume,total_length,br_length_mean,br_length_std,br_length_min,br_length_max,br_order_mean,br_order_std,br_order_min,br_order_max,br_tortuosity_mean,br_tortuosity_std,br_tortuosity_min,br_tortuosity_max,bif_EucDist2soma_mean,bif_EucDist2soma_std,bif_EucDist2soma_min,bif_EucDist2soma_max,bif_PathDist2soma_mean,bif_PathDist2soma_std,bif_PathDist2soma_min,bif_PathDist2soma_max,asymmetry_mean,asymmetry_std,asymmetry_min,asymmetry_max,ampl_local_mean,ampl_local_std,ampl_local_min,ampl_local_max,ampl_remote_mean,ampl_remote_std,ampl_remote_min,ampl_remote_max,tilt_local_mean,tilt_local_std,tilt_local_min,tilt_local_max,tilt_remote_mean,tilt_remote_std,tilt_remote_min,tilt_remote_max,soma_region
17302_00074,6.0,248.0,1780.65,1203.33,728.18,1560280000.0,27301.5,110.087,128.33,0.693303,770.634,11.1532,7.36008,1.0,30.0,0.204066,0.139077,0.0,0.709755,263.647,298.464,0.0,1355.02,927.122,782.517,12.3699,3358.84,0.702479,0.459068,0.0,1.0,79.5056,35.1125,0.280224,172.368,82.8777,41.647,0.694514,172.577,106.396,35.9105,4.02571,165.001,91.2739,37.5966,4.03987,175.123,CP
18867_4259_x9977_y8313,5.0,203.0,4466.08,4859.79,2822.51,61260300000.0,30409.3,149.8,389.605,1.09727,3324.69,8.20197,4.13193,1.0,16.0,0.150852,0.117556,7.82898e-05,0.609623,1278.86,1730.32,0.0,6620.42,2489.01,3129.61,13.0267,8747.63,0.757576,0.43073,0.0,1.0,78.1506,30.9297,8.90237,151.424,71.9428,33.7344,3.06495,143.917,111.497,27.0578,18.7884,161.964,104.814,33.8915,11.2328,171.184,SSp-m
17302_00064,7.0,309.0,3758.87,2574.19,2260.62,21873900000.0,29731.8,96.2196,264.05,0.727982,4053.33,11.4401,5.77448,1.0,22.0,0.147301,0.124449,0.0,0.643066,1728.94,1409.63,0.0,3203.02,5653.71,4628.39,10.7339,10872.1,0.761589,0.427529,0.0,1.0,70.8299,42.0445,0.740835,169.482,74.0057,43.2428,3.64972,174.204,104.163,40.9611,2.9682,165.639,101.612,39.225,4.70099,166.064,LD
17781_6287_x8230_y11645,4.0,362.0,3763.77,1960.77,3908.7,28845800000.0,83920.4,231.824,306.164,1.8391,2897.04,11.7624,5.20536,1.0,23.0,0.160715,0.103925,0.000130406,0.689158,1761.23,1152.68,0.0,3774.09,3153.05,1943.97,24.3832,7015.97,0.731844,0.444242,0.0,1.0,77.6871,32.5246,2.57788,159.962,76.3778,37.364,5.43691,167.652,112.541,29.5306,16.9169,166.733,106.33,34.976,1.81175,170.902,SSs
18454_00086,6.0,314.0,2454.79,2069.4,1112.9,5653470000.0,33705.9,107.344,146.263,1.68862,1271.23,8.9172,4.1149,1.0,20.0,0.179671,0.14726,1.47567e-05,0.868757,525.848,602.776,0.0,2278.66,907.325,773.913,29.4821,3168.93,0.785714,0.411665,0.0,1.0,80.6667,34.4802,1.22435,151.347,80.9093,36.4858,5.37547,162.947,108.289,30.0947,11.2126,171.985,98.4928,32.4653,10.5493,172.627,CP
18453_7010_x8769_y4509,8.0,954.0,3468.79,3285.3,2936.09,33459700000.0,70695.9,74.1047,131.198,0.314857,2276.78,37.8407,25.0386,1.0,79.0,0.0902454,0.0996119,0.0,0.981496,1043.1,817.513,0.0,2612.21,2333.1,1481.0,11.128,5111.21,0.856237,0.351221,0.0,1.0,109.136,55.0232,0.0286943,178.974,108.777,55.5436,0.172812,178.283,64.2875,60.4382,0.0345128,173.458,65.7553,57.2259,0.0948185,168.487,VISp
18454_00096,5.0,545.0,4480.17,3572.22,3786.06,60592700000.0,63769.1,117.008,190.574,0.466356,2268.22,14.9193,7.7282,1.0,28.0,0.120507,0.0903969,0.0,0.661543,2524.68,1727.01,0.0,4228.08,5313.75,3761.84,16.0075,9789.19,0.7,0.459109,0.0,1.0,72.2367,31.4809,0.612855,160.618,68.3329,31.7634,4.50913,167.778,116.603,29.1222,11.0942,173.675,115.781,28.1217,20.4987,169.477,MD
18867_4689_x11723_y7039,8.0,494.0,4741.35,6014.43,2812.93,80215000000.0,62096.3,125.701,271.956,0.299098,4573.77,11.5951,5.9332,1.0,26.0,0.122334,0.111915,0.0,0.907197,1445.44,1672.49,0.0,6554.26,2372.65,2577.65,16.4192,9204.94,0.711934,0.453797,0.0,1.0,77.9563,30.4583,4.34362,158.956,72.6195,35.6697,4.38465,173.945,115.069,26.8183,28.4258,164.946,110.666,32.6455,8.65215,171.598,SSp-ul
18869_00020,10.0,132.0,3218.69,1159.36,3852.89,14377500000.0,11686.3,88.5328,576.486,0.979459,6599.91,4.16667,1.6539,1.0,8.0,0.100271,0.139084,0.0,0.90329,951.193,1855.84,0.0,4800.15,1484.72,2813.22,8.83003,7835.56,0.721311,0.452075,0.0,1.0,74.9737,30.6382,4.33676,159.998,71.9848,32.4598,7.72523,145.282,115.994,29.1839,16.3696,170.464,111.119,33.2463,5.81088,164.146,PSV
18455_00033,3.0,221.0,4483.77,2492.7,1675.24,18723600000.0,20213.1,91.4619,241.667,1.87852,3046.36,14.2851,9.3047,1.0,32.0,0.169252,0.138626,6.5291e-06,0.715878,1841.8,1970.83,0.0,4883.29,3754.85,3792.51,12.6981,9645.17,0.715596,0.453214,0.0,1.0,83.9822,36.7027,1.24769,175.844,78.6543,38.1216,3.23554,166.348,103.274,35.5606,5.84215,164.205,95.5657,35.7508,1.02377,166.974,CP
