name,soma_region
18454_01023,VPM
18868_4041_x10632_y7193,SSp-ul
18458_00586,VPL
18454_01033,VPL
18457_00163,VPM
pre_18464_00180,OT
18454_00162,VPM
191807_5062_x6404_y23808,SSs
18465_00041,CP
17302_00041,LGd
18868_5723_x7031_y7203,SSs
18457_00205,VPL
182725_5094_x5532_y11642,RSPagl
18453_6708_x6437_y7833,AUDp
18869_4469_x21852_y5924,SSp-n
18455_00016,CP
18455_00208,VPM
pre_18864_00003,MOs
17545_00175,SMT
18867_6408_x9343_y6158,SSp-bfd
17781_6802_x8324_y14113,CA1
17545_00165,MG
18463_00073,VPL
18463_00001,LGd
17787_00007,CP
18869_5108_x7688_y4065,SSp-bfd
18463_00011,CP
191807_4923_x7499_y24194,SSs
236174_6338_x12092_y5845,ECT
18869_4693_x19236_y9148,RT
18465_00294,VPM
18867_5287_x32054_y8614,SSp-n
182724_2333_x7081_y21185,MOs
17302_00033,CP
17109_3101_x10824_y7188,CLA
18869_6076_x17177_y3306,RSPagl
17302_00023,AM
18465_00033,CP
18454_00100,SMT
18869_4837_x18229_y3163,SSp-tr
18454_00068,VPL
18453_5033_x32118_y8975,SSs
18464_00086,CP
18457_00069,MG
pre_17543_01276,error
18867_3801_x9223_y10977,SSp-m
18454_01041,VPM
18457_00111,VM
18864_6139_x4843_y27122,VISp
18454_01051,VPM
18457_00079,CP
18457_00101,VPM
17109_7001_x6205_y5194,TEa
18465_00117,LGd
17302_00117,LGd
18454_00024,CP
191801_3966_x14363_y10542,OT
pre_18864_00084,SSp-ll
18462_00041,VPM
18465_00309,CEA
18457_00025,VPM
18462_00051,VPM
18465_00319,CP
18465_00261,VPM
18457_00035,CP
17781_4095_x17570_y12460,CLA
17545_00023,CP
18868_3627_x28035_y8749,SSp-m
18455_00140,VPM
182725_4160_x5717_y19181,MOp
pre_18458_00348,CA1
18455_00150,VPM
18455_00028,CP
18864_00021,SSp-ul
18869_4302_x23433_y9053,SSs
18453_6756_x7677_y5336,VISrl
18869_5286_x15761_y3297,RSPv
pre_18864_00414,MOs
18458_00050,LGd
18864_00043,SSs
17781_5166_x11993_y10858,SSs
18464_00169,CP
18455_5404_x24949_y14106,VPM
18455_00122,VPM
182724_4599_x8181_y6776,SSs
18455_00132,SMT
18458_00615,LD
18868_6000_x19811_y5444,RSPv
18455_00254,VPM
182724_2238_x7096_y20268,MOs
17545_00041,CP
17545_00129,CP
17787_00029,CP
18454_01117,VPM
18462_00023,VPLpc
18465_00213,SI
18457_00047,VPM
18869_5019_x5442_y5910,SSs
17781_6028_x9772_y42888,SSs
18454_01107,VPM
17781_5361_x17741_y11849,CP
18457_00057,VPM
18465_00203,ACB
18869_4625_x5853_y5391,SSp-n
17545_00180,RE
236174_3829_x16301_y26647,CLA
pre_18454_00579,CP
18869_4587_x23021_y6827,SSs
18454_00056,RE
18454_00046,VPM
pre_18465_00367,DG
18465_00175,VPM
18455_00007,CP
pre_18458_00367,DG
18453_4497_x29287_y7176,SSp-bfd
18455_00017,LGd
18464_00124,VPL
18463_00072,MG
17545_00164,MG
18463_00062,MG
17545_00174,LGd
pre_18464_00138,CA1
17781_5894_x11460_y10079,AUDp
18458_00456,VPL
pre_18864_00012,SSp-ul
17781_6325_x14423_y8278,TEa
18868_3977_x25824_y7160,SSp-ul
18457_00162,VPM
18454_01032,VPM
18869_6241_x19347_y3562,VISp
18454_01022,LD
18465_00050,CP
18457_00204,VPM
18465_00128,VPM
17302_00040,LGd
18867_6007_x18415_y4843,RSPv
18465_00040,CP
17302_00050,CP
18454_00163,VPL
191812_5154_x9610_y25921,VISC
18454_00111,CP
18454_00069,MG
18454_00101,SMT
18465_00032,CP
18869_4001_x4383_y7249,SSs
17109_2601_x10213_y8783,CLA
17302_00032,CP
18454_01050,LGd
18453_2713_x27713_y9899,MOp
18457_00078,CP
18868_2601_x23273_y17306,PIR
18457_00110,VM
236174_3447_x12562_y10626,CLA
18457_00068,VPM
18454_01040,VPM
18868_4523_x15124_y15767,RT
18458_00424,VPM
pre_18864_00060,SSp-bfd
18465_00285,BLA
18864_6104_x9372_y1806,AUDp
pre_18864_00108,SSp-n
182725_4390_x5078_y18459,SSp-ll
18463_00010,CP
18869_4419_x16667_y10498,RT
17781_6270_x9494_y43380,AUDd
17545_00116,CP
18864_00114,VISrl
236174_5840_x15240_y29741,TEa
pre_18455_00241,NDB
18458_00049,LGd
18867_5486_x20836_y5690,RSPv
18458_00121,VPM
17109_2601_x9498_y8169,AId
17109_2401_x9954_y9122,AId
18455_00043,LGd
pre_18864_00046,VISam
191803_8254_x7045_y21580,PAR
17109_7001_x5738_y6470,VISl
18463_00036,VPL
17545_00120,CP
17545_00058,VPM
17545_00130,CP
18869_4457_x17404_y9449,RT
17545_00048,CP
18457_00126,VPM
191812_3762_x9097_y24261,SSs
18868_3715_x8453_y8977,SSp-m
pre_17543_01241,error
18457_00136,VM
18454_01066,VPM
182724_2383_x9300_y17890,ORBvl
18458_00386,CP
18869_5754_x7159_y3959,SSp-bfd
18454_00137,VPM
17109_1801_x6698_y12550,AId
18454_00127,VPM
18868_4803_x7002_y8311,SSp-n
18453_6477_x30376_y5078,VISp
18455_00182,CP
17302_00014,CP
18869_3263_x6927_y6229,SSp-m
17302_00066,LGd
17109_6401_x7989_y3767,AUDv
17302_00076,MG
18454_00155,VPM
18454_00145,VPM
191807_5031_x5620_y23074,SSp-n
18869_4550_x17965_y4177,SSp-ll
191812_3163_x6264_y21524,MOp
pre_18465_00102,DG
17545_00093,LGd
18462_00058,VPM
18457_00144,VPM
18454_01014,VPM
pre_18467_00495,TR
18462_00048,CP
18465_00300,MG
18454_01004,VPL
18463_00054,VPM
17545_00142,VPLpc
18864_4693_x10912_y2095,SSs
18458_00460,VPM
18457_00095,VPM
18461_2985_x10744_y3095,MOs
18455_5472_x13482_y11733,VPM
18455_00159,VPM
pre_18458_00351,CA1
18868_3658_x9598_y8113,MOp
18455_00021,VPM
18455_00031,CP
18464_00102,VM
18464_00112,SI
18867_4156_x9348_y9148,SSp-m
18454_00070,VPM
pre_18047_00009,MOp
18454_00060,VPM
18867_4922_x30354_y7405,SSp-bfd
18457_00119,VPM
18454_01131,RE
18462_00005,CP
18867_5640_x21236_y5683,RSPv
18457_00061,VPM
18454_01049,VPM
18465_00235,VPL
18454_01121,VPL
18462_00015,VPM
18453_5317_x24548_y3717,SSp-tr
18457_00109,VPM
18454_01059,VPM
18452_4126_x15225_y20986,OT
18453_5436_x32746_y12751,SSs
pre_18864_00079,SSp-bfd
18455_00262,VPM
18453_7245_x12979_y2864,VISp
pre_18864_00069,MOp
18458_00555,VPM
pre_18864_00111,SSp-n
18458_00268,VPM
17545_00067,CP
18463_00019,CP
18864_00313,SSs
pre_18864_00432,MOp
18465_00092,VPM
236174_4429_x13147_y8003,CLA
18465_00082,VPM
18453_1641_x24165_y10580,MOs
17781_6355_x6443_y33777,CA1
18464_00045,VPM
18453_2991_x13607_y7348,MOs
191812_4445_x5426_y10324,SSp-ll
18869_5343_x5414_y5337,SSs
18455_00200,VPM
18454_01092,MG
pre_18864_00163,SSs
18455_00210,VPM
18454_01082,VPM
18869_4054_x19963_y5080,SSp-un
18869_4764_x5211_y5995,SSs
18868_3799_x6462_y13405,GU
18869_3701_x5589_y7633,SSp-m
18867_4677_x24410_y14710,RT
182724_2494_x6419_y20983,MOs
18869_4371_x21382_y5522,SSp-n
18457_00003,CP
18867_4593_x26568_y15120,CP
18453_5862_x33046_y12305,AUDv
191812_3176_x5144_y19229,MOs
18457_00013,VPM
17302_00121,LGd
17302_00059,CP
18465_00059,VPM
17302_00049,LGd
18868_3552_x28542_y9340,SSp-m
18464_00184,VPM
18864_4267_x2794_y21031,MOs
18864_4429_x7945_y3080,SSs
18453_6675_x8876_y4461,VISal
18454_00002,CP
18464_00194,LP
17545_00053,CP
18455_00256,VPM
18457_00194,VPM
18458_00419,VPL
18457_00184,OT
18458_00561,VPM
18864_6821_x5144_y6844,VISp
18455_00048,VPM
18455_00120,VPL
18453_4899_x10111_y5917,SSp-bfd
191812_5158_x9017_y25877,SSs
18470_3582_x22459_y29708,MOs
18455_00199,VPM
18867_7790_x21511_y18480,TRN
18465_00177,VPL
18453_6576_x22528_y4353,RSPv
18868_4863_x31402_y10126,SSs
236174_3729_x13645_y9551,CLA
17109_4101_x6753_y6197,SSs
18454_00054,SMT
18864_3338_x3396_y21865,MOp
18867_5083_x14145_y15212,RT
236174_3536_x15159_y25525,CLA
18462_00031,VPM
18454_01105,VPM
18457_00055,VPM
18462_00021,VPM
18454_01115,VPM
18457_00045,VPM
18867_4926_x25796_y14504,RT
18462_00053,VPL
18457_00037,CP
18462_00043,CP
18457_00027,VPM
17545_00088,LGd
18867_5408_x30554_y7318,SSp-bfd
18869_5213_x7186_y4274,SSp-bfd
17302_00115,VPM
236174_3229_x11951_y11316,CLA
17788_4719_x3512_y9492,SSs
18869_5150_x8933_y7652,RT
17302_00105,CP
18465_00115,LGd
pre_18467_00104,AUDp
18864_3015_x3194_y23588,MOp
18458_00148,LP
18464_00061,CP
18464_00119,VPM
18864_00023,SSp-un
18455_00152,VPL
18455_00142,VPM
18455_00224,CP
pre_18864_00147,SSp-bfd
17545_00149,CP
17787_00049,CP
182724_2525_x8483_y21088,AId
17545_00159,CP
18868_3564_x27379_y8431,SSp-ul
18868_4634_x13823_y16687,RT
18457_00112,VM
18454_01042,VPM
18457_00102,VPL
18867_5082_x26232_y14941,RT
18454_01052,VPM
pre_18464_00099,CA1
17302_00030,CP
18465_00030,CP
18465_00148,LGd
17302_00020,VPL
18464_00085,CP
18869_5444_x13271_y3998,RSPv
18869_5431_x21494_y4633,SSp-bfd
18465_00089,VPM
17302_00099,CP
236174_5738_x11712_y6818,VISC
18453_2645_x28684_y11703,MOp
17787_00014,CP
18867_3994_x27846_y7437,SSp-ul
18864_3488_x3691_y22599,MOp
18458_00273,VPM
18463_00012,VPM
182725_5012_x5980_y10427,SSp-ll
182725_7341_x4593_y22594,VISli
18465_00287,VPM
pre_18864_00062,MOp
18454_01099,VPM
18458_00444,VPM
18454_01089,VPM
17545_00176,LP
17545_00166,MG
236174_2801_x11376_y11451,AId
17787_4690_x4440_y9176,SSs
17109_1901_x9602_y10508,AId
18455_00015,VPM
18455_00005,CP
18454_00161,VPM
18869_5033_x23046_y6158,SSp-n
18454_00171,MG
18454_00009,CP
18453_4386_x31552_y9254,SSp-n
17302_00052,MG
pre_17543_01171,error
18457_00206,VPL
191812_3915_x8011_y24180,SSp-m
18465_00052,CA1
18869_4268_x10899_y9077,RT
18868_5983_x17523_y5085,RSPv
18457_00170,ACB
18867_4533_x14227_y15937,CP
18457_00008,CP
pre_182712_00004,OT
18453_7132_x31679_y7308,VISli
18458_00585,VM
18454_01030,VPM
236174_3215_x11999_y11133,AId
18457_00018,VPM
18868_4132_x11881_y6094,MOp
182724_3848_x8903_y23965,SSp-m
18465_00302,MG
18454_01006,VPL
18457_00146,VPM
18465_00312,MG
17545_00091,LGd
18453_6229_x34471_y10482,AUDv
17545_00081,MG
18454_00147,VPM
18453_7024_x9012_y4138,VISp
18869_3239_x6605_y6691,SSp-m
18453_4283_x7739_y13735,VISC
17781_6643_x22317_y12822,TR
18454_00157,VPM
17302_00074,CP
18867_4259_x9977_y8313,SSp-m
17302_00064,LD
17781_6287_x8230_y11645,SSs
18454_00086,CP
18453_7010_x8769_y4509,VISp
18454_00096,MD
18867_4689_x11723_y7039,SSp-ul
18869_00020,PSV
18455_00033,CP
18455_00023,PO
pre_18864_00036,MOp
18457_00097,VPL
18453_3350_x8925_y9653,SSp-m
pre_18864_00026,MOp
18457_00087,CP
17545_00150,CP
18869_4953_x22613_y6076,SSp-n
18463_00046,SMT
15257_3271_x15413_y13333,MOp
17545_00028,CP
17787_00050,CP
17545_00140,CP
18463_00056,VPL
17545_00132,CP
18867_3973_x31634_y12362,SSs
18463_00024,CP
18453_3678_x8938_y8684,SSp-m
17545_00122,CP
18463_00034,VPL
182724_5937_x3804_y11955,VISa
pre_18864_00044,SSp-m
18867_4296_x31171_y9797,SSp-m
18458_00578,VPM
18869_5126_x8617_y7685,RT
17781_4874_x11466_y11924,SSp-bfd
18455_00139,VPM
18455_00041,CP
18453_5318_x33682_y14092,VISC
18465_00006,CP
18867_4457_x7592_y10554,SSp-m
17302_00016,CP
18455_00180,CP
191807_5199_x3288_y11643,MOp
17302_00006,CP
18864_4120_x3320_y13563,MOp
236174_3001_x12887_y24248,AId
18454_00135,VPM
18453_5343_x23330_y3366,RSPagl
18462_00028,VPM
18454_01064,VPM
18462_00038,CP
18868_3112_x27714_y10534,MOp
17109_6301_x4756_y24516,VISrl
18867_6085_x20833_y6331,RSPv
18454_01074,VPM
18454_01080,VPM
18455_00202,VPM
18454_01090,VPM
17109_2301_x9418_y23665,AId
182724_5355_x5321_y20589,SSp-ll
18868_7311_x22238_y17329,TRN
18463_00069,VPM
17545_00007,CP
18867_4052_x9852_y8712,SSp-m
pre_18864_00442,SSp-bfd
18864_00015,SSp-bfd
18464_00047,VPM
18453_4186_x30783_y11697,SSs
18464_00196,LP
236174_3529_x12805_y10541,CLA
182724_4785_x5002_y11122,SSp-ll
15257_2627_x17126_y20600,ACAd
18454_00168,VPL
18869_4520_x23555_y8194,SSs
18454_00010,CP
17787_4521_x5172_y12873,SSs
17302_00123,CP
18465_00133,VPM
18465_00245,VM
18454_01039,VPM
15257_4485_x16442_y16836,MOp
191812_4067_x7961_y6860,SSp-m
18457_00001,CP
18453_4221_x16935_y5165,MOp
182724_2926_x5279_y13761,MOs
18455_5253_x25617_y13881,VPM
18867_6003_x18592_y6204,RSPv
18458_00496,VPL
18462_00017,VPM
18454_01123,VPM
18457_00073,VPM
17786_00001,AON
18465_00227,VPM
18462_00007,CP
18454_01133,VPL
18867_4336_x10280_y7972,SSp-m
18453_1674_x14446_y9719,FRP
18457_00063,VPM
18868_4757_x15158_y16995,RT
18465_00039,CP
18867_7172_x22280_y4802,RSPv
18465_00141,LGd
18869_4414_x15653_y4273,MOs
18869_4089_x6848_y5110,SSp-m
18465_00029,CP
17302_00039,LGd
18454_00062,MG
18453_4283_x7543_y12923,VISC
18461_7132_x6338_y3287,VISrl
17782_3487_x11014_y17041,CLA
18454_00072,VPM
18868_3488_x24952_y7321,MOp
18465_00080,VPM
18465_00090,VPM
18455_00106,CP
17302_00080,LGd
pre_18864_00420,ORBl
191807_5921_x4355_y21421,SSp-bfd
18458_00302,LGd
17545_00075,VPM
18867_4789_x23709_y15765,RT
17545_00065,CP
236174_3429_x12632_y10625,CLA
191807_5629_x4661_y9410,SSp-un
pre_18864_00113,SSp-n
18455_00260,VPM
182724_4327_x4847_y18972,MOp
18458_00547,VPM
17781_6627_x22762_y14486,TR
18455_00022,VPM
18455_00032,CP
18454_00097,CM
18464_00079,MG
18458_00150,LP
18867_4218_x8269_y11914,SSs
18453_3690_x8282_y9898,SSp-m
18458_00236,LGd
18463_00057,LGd
17545_00029,CP
18453_5941_x24629_y3152,VISam
18463_00047,SMT
18461_4233_x19011_y2874,MOp
pre_18864_00027,SSp-ul
17781_2491_x13559_y38398,GU
18457_00096,VPM
18869_5237_x7485_y4162,SSp-bfd
18864_5692_x8806_y3272,AUDd
18868_5242_x9858_y5968,SSp-bfd
18867_4824_x31628_y8902,SSp-n
18465_00313,LD
18454_01007,VPL
18465_00303,PoT
17302_00065,LD
17302_00075,CP
pre_18866_01458,DG
182725_4080_x6576_y11407,MOp
18454_00156,VPLpc
pre_18465_00267,ProS
18454_00146,VPM
18454_00134,VPM
18869_3751_x5868_y6832,SSp-m
17543_5296_x5131_y20385,VISal
18869_5802_x13547_y4406,RSPv
182724_4472_x5247_y12162,MOp
17781_00001,EPd
17302_00007,CP
18455_00181,CP
18465_00017,CP
17302_00017,CP
18465_00007,CP
18867_4724_x12558_y16835,CP
191812_4775_x5212_y22490,SSp-un
18454_01075,PO
18465_00209,OT
18457_00125,VPL
236174_3229_x12413_y11831,CLA
18465_00219,CP
18457_00135,SMT
18867_4397_x8352_y9768,SSp-m
18462_00029,VPLpc
18868_3856_x26025_y7205,SSp-ul
18868_5131_x7596_y7239,SSp-bfd
18458_00244,LGd
18464_00163,CP
15257_2226_x16029_y23953,MOs
18458_00122,VPM
18869_3395_x6415_y6741,SSp-m
18455_00040,CP
18867_6014_x17935_y4434,RSPd
18455_00138,VPM
18455_00050,MG
18465_00132,VPM
18454_00011,CP
18454_00169,VPL
18868_3228_x28576_y10788,SSp-m
18464_00197,LP
182724_3887_x5901_y10339,SSp-ul
18454_01038,VPL
18457_00010,VPM
15257_4500_x16614_y17147,MOs
17545_00006,CP
18463_00068,VPM
18454_01091,VPM
17782_3352_x11384_y16404,MOp
pre_18864_00018,SSp-ll
18455_00203,VPM
18454_01081,VPM
18869_4181_x21056_y5611,SSp-m
pre_18864_00008,RSPd
18455_00165,MD
18453_3767_x22604_y5643,MOp
18464_00046,VPM
18458_00075,LD
191812_4322_x7645_y6848,SSp-n
17302_00081,CP
18465_00091,VPM
18867_7583_x22567_y18119,PRNr
17302_00091,CP
18465_00081,VPM
18455_00261,VPM
18867_4473_x25161_y6054,SSp-ll
17545_00064,CP
18868_3419_x27168_y8481,MOp
191812_5411_x6011_y24641,SSp-bfd
17545_00074,CP
18867_4874_x16831_y16618,RT
18453_2632_x11687_y8383,MOs
18457_00062,VPM
18454_01132,VPL
18457_00072,VPM
18465_00226,VPL
18868_3207_x27726_y9448,SSp-m
18462_00016,VPM
18454_01122,VPM
18864_3248_x2473_y15212,MOs
18461_4178_x16825_y2713,MOp
18864_5305_x7877_y31450,SSs
18454_00073,VPLpc
18454_00063,MG
182725_3680_x13452_y7614,GU
17302_00038,MG
18465_00028,CP
18465_00140,LGd
18454_00055,RE
18867_5894_x10157_y6463,SSp-bfd
18453_6675_x10576_y3102,VISp
18867_5665_x20882_y6561,RSPv
18867_4954_x9860_y7599,SSp-bfd
18864_4420_x4377_y8261,SSp-ul
pre_18866_00139,DG
18867_4776_x28359_y6621,SSp-un
18452_4536_x11274_y21067,OT
18864_4157_x3358_y13741,MOp
18457_00044,CP
18462_00020,VPM
18454_01114,VPM
18457_00054,VPM
18462_00030,VPLpc
18454_01104,VPM
18869_5418_x23277_y4971,SSp-bfd
18867_5319_x14289_y4114,MOp
18455_00257,VPM
182724_4580_x5627_y9427,SSp-un
17545_00052,CP
18864_00040,SSp-m
18868_3922_x26631_y7518,SSp-ul
18458_00053,LGd
18461_6043_x11080_y1667,VISa
18455_00121,VPM
18458_00616,SMT
17109_6901_x7203_y26714,TEa
18455_00049,VPM
17300_5571_x27063_y39610,VISa
18453_5308_x10321_y5166,SSp-bfd
18869_00028,RT
18455_00143,VPM
18455_00153,VPL
18464_00108,CP
18864_3772_x5344_y6871,SSp-m
18869_3634_x5750_y7170,SSp-m
17545_00158,CP
17787_00048,CP
17545_00030,CP
18458_00502,OT
pre_17781_00066,AId
18869_3506_x6250_y6810,SSp-m
17545_00089,LP
18457_00026,VPM
18462_00042,VPL
18869_3937_x5000_y8198,SSp-m
18457_00036,CP
18462_00052,VPM
18465_00114,LGd
17302_00114,VPM
18047_4141_x14168_y9063,MOs
18454_00027,CP
18458_00114,VPM
17109_2401_x8977_y24184,MOp
18464_00155,CP
18864_00117,VISl
17781_3819_x16144_y41186,SSs
17302_00098,CP
18453_6181_x10238_y3690,VISrl
pre_18464_00159,EPd
18867_4647_x12409_y6656,SSp-ul
18465_00286,VPM
18458_00437,VPL
pre_18864_00073,SSp-bfd
18453_5995_x24812_y3143,VISam
18463_00013,VPM
18463_00003,VPM
18864_6291_x8873_y32149,AUDp
17545_00115,CP
18454_01053,VPM
18869_4787_x8961_y9647,RT
18864_3473_x2641_y21082,MOp
18457_00103,CP
18454_01043,VPM
pre_17543_01274,error
18869_4196_x21043_y5510,SSp-m
18465_00347,VPL
18457_00113,CP
18461_3220_x7596_y9465,AIv
18869_7121_x17742_y2862,RSPagl
191807_3532_x4912_y7973,MOp
18453_3516_x21006_y6048,MOs
17302_00021,VPL
18453_6479_x9010_y4330,VISal
18869_3547_x21769_y7449,SSp-m
18465_00031,CP
18869_6732_x9649_y3919,SUB
17302_00031,CP
18465_00159,CP
17302_00043,CP
18465_00053,CA1
17302_00053,VPM
18455_4982_x21552_y14337,AM
18454_00008,fiber tracts
18455_3718_x10944_y12140,CP
18454_00170,MG
18454_00018,CP
191812_3727_x4996_y18685,MOs
18454_00160,VPM
18868_5965_x17541_y6435,RSPv
17788_3709_x6000_y8213,SSp-m
236174_5670_x14073_y29439,SSs
18868_6757_x10353_y4324,VISp
18454_01031,VPM
18458_00584,VPM
18869_3701_x7703_y4993,SSp-m
18457_00019,VPM
pre_18464_00182,OT
18457_00009,LD
18454_01021,LGd
18867_4768_x26326_y6150,SSp-ul
18864_5648_x4839_y28849,SSp-bfd
18463_00071,VPL
18867_4889_x28329_y6770,SSp-un
18463_00061,MG
17545_00177,PVT
18458_00445,VPM
18454_01098,VPM
18455_00004,CP
pre_18458_00374,DG
18455_00014,CP
191807_2729_x3750_y9965,MOs
18453_1924_x22284_y8069,MOs
191812_5221_x9028_y25900,SSs
18464_00127,VPM
18453_7813_x5799_y12199,ENTl
18465_00283,EPd
236174_3529_x13688_y26111,GU
17545_00068,CP
18458_00267,LGd
17545_00110,VPM
17545_00078,VPM
18463_00016,LGd
18458_00277,VPM
18453_4403_x30609_y7732,SSp-bfd
18458_00101,LGd
18458_00069,LGd
18868_3453_x28753_y10380,SSp-m
18868_3626_x29809_y12585,SSs
18868_3981_x30626_y12403,SSs
18454_00107,VPM
15257_4149_x16164_y21238,ACAd
18464_00081,CP
pre_18454_00305,CP
17302_00024,PVT
17109_1701_x8048_y22277,AId
182724_2247_x6785_y11803,MOs
18465_00034,CP
18457_00116,SI
18454_01056,VPM
236174_2669_x10674_y13239,AId
18457_00106,CP
18867_2903_x13633_y8787,MOp
236174_5138_x16501_y28259,CLA
18465_00258,SMT
15257_2309_x13266_y25533,MOs
18868_5724_x8616_y5999,SSp-bfd
18454_01034,VPM
18465_00248,DG
18457_00164,VPL
17302_00056,CP
18465_00046,CP
17302_00046,CP
18453_5228_x9833_y5221,SSp-bfd
18465_00056,LGd
18457_00202,VPL
pre_18454_00377,AId
18869_4662_x10221_y8547,RT
18454_00165,VPM
236174_4647_x16405_y27845,CLA
18455_00011,CP
182725_4290_x5671_y18488,MOp
18464_00132,VPLpc
18453_4496_x31014_y8304,SSp-n
18464_00122,VPL
17545_00172,VPM
18463_00074,CP
17545_00162,MG
191812_3675_x8625_y6930,SSp-m
18458_00450,MG
pre_18864_00014,SSp-ul
18457_00051,VPM
18454_01079,VPM
18457_00129,VPM
18454_01101,VPM
18462_00035,CP
18454_01069,VPM
18457_00041,CP
18454_01111,VPM
18462_00025,MG
18457_00139,CP
18869_5317_x6063_y4638,SSp-bfd
191812_2978_x7903_y22705,MOp
15257_4021_x16401_y21556,MOs
17781_6626_x22318_y13682,TR
18454_00138,VPM
18453_3945_x11262_y6434,SSp-ul
pre_18465_00371,DG
18454_00050,MD
18454_00128,LD
191812_5219_x4127_y21100,SSp-ul
18869_3761_x5335_y8118,SSs
18869_4511_x11720_y4070,MOp
18458_00056,LGd
18455_00134,RE
17782_3651_x35286_y18512,CLA
182725_2390_x8944_y12077,MOs
18869_4275_x8819_y9368,CP
pre_18864_00247,MOp
18455_00124,PO
18458_00575,VPM
18457_00190,VPM
18455_00252,VPM
18458_00565,VPL
pre_18864_00059,MOp
