S1,S2,S3,S4,tip_br,total,order,dist2soma,contraction,length
0,1,0,1,1,2,16,10338.3,0.900521,58.0115
2,2,1,3,1,8,16,10338.3,0.846336,82.8275
1,0,0,1,1,2,16,10024.8,0.903636,8.18787
0,1,1,1,0,3,16,10024.8,0.912788,28.3336
1,0,0,1,1,2,16,9805.54,0.949811,32.2169
1,1,0,0,1,2,16,9805.54,0.935176,134.008
1,0,0,1,1,2,16,9892.72,0.990619,10.1215
1,0,0,1,1,2,16,9892.72,0.976689,30.7567
2,1,1,1,0,5,16,9838.23,0.922929,85.18
3,1,1,2,1,7,16,9838.23,0.980413,75.5462
0,0,0,2,1,2,16,9928.45,0.742159,92.3646
4,1,2,1,1,8,16,9928.45,0.952206,103.768
1,0,0,1,1,2,17,9845.76,0.876853,19.7416
2,1,0,2,0,5,17,9845.76,0.944743,40.3656
0,1,1,0,1,2,17,9835,0.943295,66.3054
2,0,1,1,1,4,17,9835,0.883665,196.844
1,0,1,0,0,2,17,9844.49,0.939091,24.0887
0,1,0,0,1,1,17,9844.49,0.880106,143.617
0,0,3,1,1,4,17,10034.7,0.518709,98.024
0,0,1,0,0,1,17,9780.18,0.826853,18.8412
1,1,2,3,1,7,17,9780.18,0.911238,246.014
0,0,0,1,0,1,17,9802.98,0.998626,3.84757
1,0,1,1,1,3,17,9802.98,0.968607,23.0676
1,1,0,0,1,2,17,9850.09,0.961613,25.2812
1,0,0,1,1,2,17,9850.09,0.968803,70.0912
0,1,0,0,1,1,17,9859.55,0.806336,22.4532
1,0,0,0,1,1,17,9859.55,0.991632,48.5115
0,1,1,0,0,2,17,9816.99,0.920756,34.5088
2,1,3,3,1,9,17,9816.99,0.864466,258.851
2,0,3,2,0,7,17,9891.26,0.94026,114.411
1,1,0,2,1,4,17,9891.26,0.938685,159.222
1,0,0,1,0,2,17,10053.1,0.985261,39.383
5,3,5,5,1,18,17,10053.1,0.925461,291.449
2,0,1,2,1,5,17,9923.41,0.779425,52.599
6,3,6,3,0,18,17,9923.41,0.937101,272.037
1,1,0,2,1,4,18,9886.13,0.842976,34.131
0,1,1,1,0,3,18,9886.13,0.981017,69.5669
1,0,0,0,0,1,18,9868.58,0.997443,8.06589
1,0,2,0,0,3,18,9868.58,0.974581,54.2707
0,1,2,1,1,4,18,10036.8,0.721096,122.627
1,1,1,2,1,5,18,10036.8,0.955018,107.495
1,0,0,0,1,1,18,9799.02,0.973929,21.3228
1,1,0,1,1,3,18,9799.02,0.947155,84.6932
0,0,1,0,0,1,18,9806.82,0.894497,40.6767
2,1,1,1,1,5,18,9806.82,0.959961,228.326
1,0,0,1,0,2,18,9851.5,0.922027,64.6088
0,1,0,0,1,1,18,9851.5,0.888873,220.107
0,0,0,1,1,1,18,10005.7,0.799272,9.81589
1,0,0,1,1,2,18,10005.7,0.963999,13.5517
1,0,0,1,1,2,18,10092.5,0.940473,63.4281
1,0,1,1,1,3,18,10092.5,0.898156,80.7926
0,0,1,0,1,1,18,10195.4,0.502561,31.7373
2,0,2,1,1,5,18,10195.4,0.895707,107.53
3,1,0,2,1,6,19,9955.7,0.933073,156.004
1,0,0,1,0,2,19,9876.65,0.945965,32.1388
2,1,0,4,1,7,19,9876.65,0.732162,316.201
1,1,1,0,0,3,19,9922.85,0.956094,29.346
4,3,3,1,1,11,19,9922.85,0.949923,212.549
2,2,0,2,1,6,19,9847.5,0.972674,105.834
0,0,0,1,1,1,19,9916.11,0.952222,38.1898
2,2,1,2,1,7,19,9916.11,0.823736,163.499
0,0,1,0,0,1,20,10007.1,0.950326,18.9809
1,2,2,1,1,6,20,10007.1,0.753935,196.037
0,0,1,1,0,2,20,9908.78,0.971392,34.6896
7,4,2,1,1,14,20,9908.78,0.80241,303.667
0,1,0,1,0,2,20,9952.2,0.959917,14.2503
1,0,1,0,0,2,20,9952.2,0.951328,32.156
1,0,0,0,1,1,20,9853.1,0.971303,19.0617
1,0,0,0,0,1,21,10026.1,0.952408,26.3234
3,4,3,4,1,14,21,10026.1,0.895312,324.123
1,0,1,1,0,3,21,9943.47,0.941447,54.8259
1,0,0,2,1,3,21,9943.47,0.921522,170.355
1,1,1,0,1,3,21,9966.45,0.851716,118.897
2,1,2,1,1,6,21,9966.45,0.92436,147.678
1,1,0,1,1,3,21,9984.35,0.890898,31.5736
1,0,0,1,0,2,21,9984.35,0.996758,45.9246
1,0,0,0,1,1,22,10052.4,0.944173,7.63332
1,1,0,0,1,2,22,10052.4,0.988341,45.3323
0,0,1,1,0,2,22,9998.3,0.9622,32.5365
5,2,0,3,1,10,22,9998.3,0.93569,299.351
1,0,0,1,0,2,22,10030.3,0.985077,9.64383
3,1,2,3,0,9,22,10030.3,0.875049,158.327
2,1,0,1,1,4,23,10030.8,0.949339,101.02
3,0,1,1,1,5,23,10030.8,0.967119,141.888
1,0,0,1,0,2,23,10039.9,0.944096,15.8119
1,1,2,1,1,5,23,10039.9,0.950726,60.1887
3,1,3,3,1,10,23,10188.6,0.793874,201.862
3,3,2,3,1,11,23,10188.6,0.875726,234.943
1,2,0,1,0,4,24,10055.7,0.978678,46.3509
1,0,1,1,0,3,24,10055.7,0.94487,75.6453
1,0,2,1,0,4,25,10102.1,0.884771,38.5564
0,1,0,0,0,1,25,10102.1,0.92484,89.085
1,0,0,0,1,1,25,10131.4,0.831811,16.8013
1,0,0,0,0,1,25,10131.4,0.831347,26.0181
2,1,0,1,0,4,26,10140.6,0.601588,163.439
4,0,0,2,0,6,26,10140.6,0.8163,225.131
0,1,2,0,1,3,26,10191.2,0.6235,105.653
0,0,1,2,0,3,26,10191.2,0.495708,139.21
1,0,1,0,1,2,26,10157.4,0.926591,73.3359
1,0,0,0,0,1,26,10157.4,0.983816,106.279
0,1,1,0,1,2,27,10304.1,0.458404,117.412
1,0,4,3,1,8,27,10304.1,0.816727,343.056
1,0,0,0,1,1,27,10365.8,0.931107,44.1723
0,2,2,1,0,5,27,10330.4,0.63114,69.8413
