name,arbor_id,stype,arbor_order,LD,ptype
18454_01080,1,VPM,1,1,TH_core
18455_00202,0,VPM,1,1,TH_core
18455_00202,1,VPM,0,1,TH_core
18454_01090,0,VPM,0,0,TH_core
18454_01090,1,VPM,1,1,TH_core
18463_00069,0,VPM,1,1,TH_core
18463_00069,1,VPM,0,0,TH_core
18464_00047,0,VPM,1,1,TH_core
18464_00047,1,VPM,0,0,TH_core
18465_00133,0,VPM,0,1,TH_core
18465_00133,1,VPM,1,1,TH_core
18454_01039,0,VPM,1,1,TH_core
18454_01039,1,VPM,0,0,TH_core
18455_5253_x25617_y13881,0,VPM,1,1,TH_core
18455_5253_x25617_y13881,1,VPM,0,0,TH_core
18462_00017,0,VPM,0,1,TH_core
18462_00017,1,VPM,1,1,TH_core
18454_01123,0,VPM,0,1,TH_core
18454_01123,1,VPM,1,1,TH_core
18457_00073,0,VPM,0,0,TH_core
18457_00073,1,VPM,1,1,TH_core
18465_00227,0,VPM,0,1,TH_core
18465_00227,1,VPM,1,1,TH_core
18457_00063,0,VPM,1,1,TH_core
18457_00063,1,VPM,0,0,TH_core
18454_00072,0,VPM,1,1,TH_core
18454_00072,1,VPM,0,1,TH_core
18465_00080,0,VPM,1,1,TH_core
18465_00080,1,VPM,0,0,TH_core
18465_00090,0,VPM,1,1,TH_core
18465_00090,1,VPM,0,0,TH_core
17545_00075,0,VPM,1,1,TH_core
17545_00075,1,VPM,0,0,TH_core
18455_00260,0,VPM,1,1,TH_core
18455_00260,1,VPM,0,0,TH_core
18458_00547,0,VPM,1,1,TH_core
18458_00547,1,VPM,0,1,TH_core
18455_00022,0,VPM,1,1,TH_core
18455_00022,1,VPM,0,1,TH_core
18457_00096,0,VPM,1,1,TH_core
18457_00096,1,VPM,0,0,TH_core
18454_00146,0,VPM,0,0,TH_core
18454_00146,1,VPM,1,1,TH_core
18454_00134,0,VPM,1,1,TH_core
18454_00134,1,VPM,0,1,TH_core
18458_00122,0,VPM,0,0,TH_core
18458_00122,1,VPM,1,1,TH_core
18455_00138,0,VPM,0,0,TH_core
18455_00138,1,VPM,1,1,TH_core
18465_00132,0,VPM,1,1,TH_core
18465_00132,1,VPM,0,1,TH_core
18457_00010,0,VPM,1,0,TH_core
18457_00010,1,VPM,0,0,TH_core
18463_00068,0,VPM,0,1,TH_core
18463_00068,1,VPM,1,1,TH_core
18454_01091,0,VPM,0,1,TH_core
18454_01091,1,VPM,1,1,TH_core
18455_00203,0,VPM,1,1,TH_core
18455_00203,1,VPM,0,0,TH_core
18454_01081,0,VPM,0,1,TH_core
18454_01081,1,VPM,1,1,TH_core
18464_00046,0,VPM,0,1,TH_core
18464_00046,1,VPM,1,1,TH_core
18465_00091,0,VPM,1,1,TH_core
18465_00091,1,VPM,0,1,TH_core
18465_00081,0,VPM,1,1,TH_core
18465_00081,1,VPM,0,0,TH_core
18455_00261,0,VPM,1,1,TH_core
