region_name_r316,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
SSp-un,-0.09655516712328767,0.6402004136986301,0.6356768150684932,0.6213665808219178,-0.0009482231095890438,0.35844799315068493,0.0869788904109589,0.6146436821917808,0.4719818465753425,0.03409135205479452,0.15838029452054794,0.4549261178082192,-0.19796622383561643,-0.3766135712328767,-0.22412906712328767,-0.2693029109589041,-0.20098719150684932,-0.16697467397260274
SSs,-0.1794073596851211,0.021388253719723187,0.020956303760092273,0.014235525986159172,-0.30096573472895044,-0.3543018189042676,0.03230800030911188,-0.06891333038062283,-0.00841336288235294,-0.3386376006724337,-0.3217436269088812,-0.11822832573471742,-0.3700897834486736,-0.4340414601153402,-0.4042817051787774,-0.3691019553056517,-0.3685195495040369,-0.3484566138673587
VISp,-0.04659983516260162,0.12971467536585365,0.13251540243902438,0.13137494479674797,-0.09255019243902439,0.08963690983739837,-0.15493764890243902,0.02856723124593496,-0.08415208051016261,-0.0388757808800813,-0.07720115645325203,0.030090451583333334,-0.15790200723577236,-0.29051942864634145,-0.18623704579268294,-0.08942718489837398,-0.0635037924593496,-0.12883259512195122
VISrl,-0.09354896640625,0.36654695421875,0.366236378125,0.360808634375,0.049896364062500004,0.114441809375,0.20065119609375,0.3555709296875,-0.017976242187500005,0.004377953125000002,0.006170714531249989,0.086953325,-0.086530228125,-0.17770716875,-0.045734401562500006,-0.02810640937499999,-0.09291589374999999,-0.08198719687499997
LGd,0.09189,0.5963780278723404,0.5962844234042552,0.5970658680851064,-0.03141707063829786,-0.2783444061702128,-0.19696581063829788,0.19494617872340425,-0.6230972212765957,0.046236723404255324,0.2485890680851064,0.5143294744680851,0.42110802765957445,0.10351912765957447,0.3664132340425532,0.42077860425531916,0.11139711063829788,0.7960610676595745
MG,0.05956002799999999,-0.12221821240000001,-0.10852387059999997,-0.09444415999999999,0.054518922,-0.563542636,-0.593581526,-0.202969178,-0.53811145,-0.011980002,-0.024998392,-0.1975587786,-0.014165248000000005,-0.08253097999999999,-0.121815046,-0.095493914,-0.21326622,0.17371790999999998
SMT,0.4972219047619048,1.3370369852380952,1.3419538619047617,1.3368614,-0.13848571428571427,0.15831650476190476,0.007074409523809532,1.2025539523809523,0.3426828809523809,-0.1243286,0.04386087142857144,0.3218001238095238,0.26348774761904764,0.23248771904761906,0.1117551857142857,0.08624478095238094,-0.16965542857142857,0.6198551333333333
VPL,-0.5455500677966102,-0.011746294322033899,-0.019234646101694917,-0.03488789644915255,-0.8279549830508475,-0.9614624254237288,-0.7515709771186441,-0.41156871271186446,-0.5640386319491525,-0.897860696779661,-0.7881679016949152,-0.3592192645762711,-0.5345317338983051,-0.615638643220339,-0.6143795966101695,-0.6700851127118643,-0.9230869623728813,-0.3044535847457627
VPM,-0.3550353400757576,-0.0954622415530303,-0.09246492458333333,-0.09795282015151516,-1.0341762973484847,-1.0297429071969697,-0.6942645162878788,-0.43461193333333337,-0.4512131662878788,-1.0162689738257575,-0.9574630170454546,-0.5437608857159091,-0.582372218939394,-0.6062530382575757,-0.6728863647727273,-0.6799448741666667,-0.9442689587121211,-0.2884797799242424
LD,0.23758225000000005,2.14548775,2.1111969999999998,2.0768435,0.4385995,0.7215229625,0.96680705,2.157265,-0.264387875,0.55998233125,0.6860302375,1.3308252500000002,1.2885453375,1.404345,1.35243665,1.2865331750000002,0.878965,1.804312875
