cstype,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,Length,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
VISp-4,-0.08711795821403912,-0.35142544073402354,-0.35105270198120686,-0.350650368792947,-0.7928162692728212,-1.0674820770870435,-0.41291750374452224,-0.21265638889469451,-0.19067099197144877,-1.0523823227756341,-1.0754519410882766,-0.8193135142459129,-0.47042567208610525,0.28376796453466674,-0.071856516453133,-0.06818859566221727,0.14207943939455728,0.04811739466495873
MOp-5,0.9089685479495103,1.1681851704061168,1.1726039036618874,1.1769044177744288,2.0584471718074004,1.318575490352753,0.7662523166628996,1.3222680811827237,0.7220289474771653,1.6569339118340036,1.230364815308339,0.0857431676351448,-0.09508702614753632,0.49312826338783033,0.4420617524880693,0.07293674300660097,-0.15109361238511307,-0.4577740009370028
MOs-5,0.9445430660267801,1.4890398348783138,1.4927113365601992,1.496244340398103,2.2533651914665547,1.39074947948072,1.0066547608121856,2.0265238060065878,0.9627704418833513,2.0160630164833373,1.4635234396493575,0.20673771439240976,-0.15759192265871336,0.8056925936358856,-0.071856516453133,0.22920636290305715,-0.18680662218515798,-0.5652320838506709
RSPv-5,1.163966693527379,1.7455089654569955,1.750333589890273,1.7549915597547212,0.764516757835474,1.551751539339715,0.09149958949605745,1.2652980543269579,2.2767540608558154,0.3794798749893749,0.8771067023349757,0.5467105506094295,0.6790363233213008,0.0012571217289721603,0.5702802348555751,-0.03180765147036639,-0.37623494433946975,-0.2788459169259275
SSp-bfd-5,0.5295767757489819,0.4591628666798073,0.46247617522735923,0.46573489175051497,0.45955509463938465,1.705175212732257,0.6268279223991299,0.5044011240325306,0.5027178407598525,1.0225686539020227,0.6947168293206302,-0.2568006421109749,0.2602447213891538,0.1210683645392414,0.5279336333426233,0.45824986181225563,0.004287874536762695,-0.6336797998489788
SSp-ll-5,0.8999132160752962,0.6654787613177818,0.6714960772621378,0.6774240259784257,1.0838770802831421,1.355180867607855,0.39449810053171447,0.49724013844366954,0.5661932732192001,0.9287932334199508,0.7948252143483245,-0.2764462846041114,0.22432117466474158,0.059109426686919216,-0.03411903961407945,0.20636113796170477,-0.37823352910987396,0.0015560704388454351
SSp-m-5,0.36265341033827125,-0.057198613173444955,-0.05368790977050109,-0.0501923026505061,1.1193529162059044,0.8993213998628309,0.6770683908976842,0.10379547140600569,0.5534454982470315,1.2364370214577471,0.5996186747307571,-0.3299055247297734,-0.07865350446622583,0.1819473789400451,0.3016419712359615,0.3722661007722796,0.017273943788266095,-0.7294655812991707
SSp-n-5,0.5105339454840905,0.19175062461022194,0.19578391082898697,0.19977884256694722,0.6651424478997338,1.4325313783798312,0.876073265922976,0.3357308280313872,0.26456256893415075,1.1687657378208938,0.6718929101067412,-0.07172446451645814,0.1547717411239854,0.16009154379408103,0.4197404773240938,0.3174162746042359,0.11841485111016925,-0.8843752533880156
SSp-ul-5,0.5660849237124423,0.23469598870768177,0.2390947469598059,0.24344925933599665,1.085322559845683,1.8467025842422053,0.13021272812956466,0.2287000031690097,0.9792780350972609,1.197075143164567,0.7234057499701246,-0.2244880598599475,-0.05300167307575727,0.05984041020820175,1.432903401143181,0.08196353215080661,0.05510665413425368,-0.8189530307284785
SSp-un-5,0.659946921408623,0.12305213405234941,0.12868459356429707,0.13427321741337303,0.9336270161598724,1.5699830562561348,0.510973632841101,0.5499469358478493,0.20215899390306047,0.8161795117502418,0.7831128162939361,-0.11300238750765505,-0.2287562915721503,0.5042859317022081,-0.071856516453133,0.21600301191248705,0.024301414245767483,-1.0027289801870005
SSs-5,0.9514487077711911,0.5464503605651042,0.5533381558691002,0.560140057413019,0.7622326427613135,0.615151027198365,1.3095507780146625,0.7767202957431091,0.5538793049302176,1.101094936216666,0.7737110543999534,-0.08197649767767044,-0.024519117812170595,0.4379971893070582,0.08372656736334805,0.31064280569915526,-0.09337354309294446,-0.5692980038058179
VISp-5,0.03739285505640456,0.3886862975427899,0.3877244748412461,0.3867428143594402,-0.5160678694371242,-0.5246950352629794,-0.48541769170179866,-0.22354868092058724,-0.19628156023536214,-0.9118741266619809,-0.8517832710115599,0.13007871455161557,0.4165187269363251,-0.5026269937874582,-0.071856516453133,0.4508620723033301,0.4647540800725057,0.769906729234982
AId-6,-0.4855525606794589,-0.17601529484292236,-0.1798809742651612,-0.18370200468626838,0.5456683383208203,0.8482134312574191,1.4357749375861915,2.077155633947312,0.9888528457676541,0.6311121361385631,0.8307601474649688,-0.46615795087678397,-0.7126352387356302,3.2629056660694546,-0.071856516453133,-0.8148598724486689,-0.5401435893544797,-0.7817914791811444
SSs-6,-0.7958718183688724,-0.19556794215554757,-0.2022123012041161,-0.20879149893579435,0.3587008333385985,0.1877579488520135,0.9339499186498659,1.4435238421684842,0.6624569422369334,0.4288007726463301,0.29485302436284083,-0.5864636922442894,-1.0217111577765918,2.338690786165574,-0.071856516453133,-0.6173010711073245,0.16438855701343055,-0.6022616440284546
