ptype,max_density_axonal1,num_nodes_axonal1,total_path_length_axonal1,volume_axonal1,num_branches_axonal1,dist_to_soma_axonal1,dist_to_soma2_axonal1,num_hubs_axonal1,variance_ratio_axonal1,max_density_axonal2,num_nodes_axonal2,total_path_length_axonal2,volume_axonal2,num_branches_axonal2,dist_to_soma_axonal2,dist_to_soma2_axonal2,num_hubs_axonal2,variance_ratio_axonal2,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
MOp-IT,1.264125067901662,1.550361625199345,1.473489990326186,1.2631813474427627,1.554575489494089,-0.6081718109739007,-0.7183669890282836,1.0782205182682754,-0.8830635478639289,-0.8069850105217623,-0.5893636349814202,-0.14544761971861025,-0.04005956228189123,-0.5984831655327988,-0.5935623813180743,0.018356109217844814,-0.11665250096862066,0.020429068267581948,-0.27692582383107794,-0.27721511722958664,-0.08759086187939198,0.03168918504264876,-0.24052200285053152,0.009076425102867717,-0.0932279642706508,0.020754349230574006,-0.508237041158426,0.6806960923790949,0.6638860262287801,0.557609949424146,0.30956149716987735,0.7282169039385569,0.6732853114202807,-0.22612082531284758,1.151991223286377,1.334423128664599
MOs-IT,1.8829081015902693,1.8907988254973314,1.6977120726309871,1.2759585239365847,1.9069617031352708,-1.0081652281851305,-0.7090953133765581,0.6599228765677735,-0.8409883384199058,-0.8416281682924217,-0.4514444253353427,0.0282977549553045,0.4691949449229804,-0.4593127141173216,-0.7224884796663525,0.5856648168364536,-0.25880639606739975,0.13320866739450166,-0.05672549789912245,-0.05711358133404134,0.07483060883353848,0.32787030387632093,-0.0393424963757865,0.31245458763147094,-0.09322796427065082,0.1350089935645607,-0.1253179541298042,0.6703943603776383,0.6537352752355277,0.48412850381766703,0.2743066481974161,0.7212221429515151,0.5369048949123228,-0.3595866626663562,1.1265590473013394,1.1953348034163318
SSp-bfd-IT,1.0901479600481898,0.9513602790154229,0.7624558717521752,0.4583792561329241,0.9509225843870217,-0.14483998635417122,-0.5930143331093742,0.1316727119059966,-0.931283782693899,-0.9724417429864042,-0.7888455365836609,-0.24853568189702066,0.12432132541861592,-0.8027105199418452,0.009614165355890025,0.7911927901673208,-0.5807161843233447,0.6582960433548821,-0.4411837579946769,-0.4413993591893798,-0.375601769638793,-0.38703387186989885,-0.47367468089001274,-0.31488839855804984,-0.0932279642706508,-0.24457032483390623,-0.056300392623568986,0.38083644704439223,0.3684210896251837,0.18597987088062604,-0.04445131125337519,0.4266028101773207,0.30650534081289227,-0.29159126497286164,0.6857346635606888,1.0097616200168147
SSp-m-IT,1.23603000790743,0.7326222047386891,0.4816057128437788,0.3295639054420426,0.7306756497237022,-0.7829063504725957,-0.7604509195358705,0.2703777849800182,-0.9371009283412156,-0.7927217968233137,-0.7429764065176174,-0.2946830687706291,-0.13199967645720265,-0.7342015912270397,-0.6384022864815144,-0.014206004936427796,-0.2613982623174476,0.34068276805636266,-0.4004241009487785,-0.40065798843795714,-0.28103652273680974,-0.30206738138453954,-0.3865645793675242,-0.01343959797977246,-0.0932279642706508,0.1421844060106565,0.2349069236420754,0.054598855153451774,0.0469647986388645,-0.07681181030394223,-0.1402516159045175,0.12739734715597034,0.30102117560724406,-0.18896378962977534,0.21136929410064068,0.9041194711981949
SSp-n-IT,1.0813602258624697,0.8551387038779543,0.7098383816665473,0.7172286681516169,0.8712526578246675,0.5538348111639919,-0.7645469585663832,0.5874179520063532,-0.7401296139110839,-1.0106485064599966,-0.9461336950699275,-0.4471810605520492,-0.2699439958022154,-0.9365375505546023,0.26554801568333397,-0.24529449534738781,-0.5807161843233447,0.33659400227073855,-0.21827372246144164,-0.21858932936882147,-0.15260181192380182,-0.2637678432030383,-0.16543893704120705,-0.10100330218355413,-0.0932279642706508,-0.06303238994768293,0.0017321162532971674,-0.009678439903127552,-0.016370455719034824,-0.08899496572847997,0.022105040381561247,0.026502481718538234,0.056331155066218754,-0.1236315979616561,0.20082784144597293,0.47289701291942665
SSp-ul-IT,1.2603696259419526,0.8209452038884619,0.6992269677733232,0.5619738609035355,0.820984727969849,-0.8847339544446055,-0.7592285700646332,0.6525244148778327,-0.7266865007807258,-0.6431850013915855,-0.6807485513470674,-0.30271615176348615,-0.3312564033216037,-0.7009526395220068,-0.14317422815969166,0.11467055878003987,-0.5057742230362464,0.7534970413053914,-0.5840366512603017,-0.584188163346747,-0.5573640046337022,-0.3871317873782582,-0.686504123071331,-0.36606525011684415,-0.0932279642706508,-0.7373161480965124,-0.09341460225605483,0.6831866209948316,0.6663400539414346,0.4796405844470101,0.0585912537487601,0.6666630072525903,0.5870143748888171,-0.31808078804662365,1.205277687255027,1.5515815356286142
SSs-IT,1.2213130295609744,1.4390365052018612,1.3729823704384587,1.3321120197173435,1.4422204648548718,0.4943766519780385,-0.5416970478877677,0.7745990327618567,-0.8129536184023047,-0.7726306961718066,-0.36471380260482017,0.11211535883068621,0.3323383375319152,-0.3555925605213431,-0.3422867842065311,1.3139025439000362,0.0562904866169908,0.3073449442157136,0.012671788317985004,0.012252570685588734,0.07633582923813502,-0.03853266389973093,0.010695773729539084,-0.14424238967566816,-0.0932279642706508,0.1703735263346042,0.3292471190099237,0.416077426957067,0.40314558175924425,0.2547689501215111,0.11098197993704555,0.48090214046815555,0.5905832078443257,-0.24260586067021486,0.8589156714588014,1.2185101133470206
VISp-IT,1.0260300476560842,0.47194857816052055,0.2565299951821815,0.05821371621642669,0.48557778605690805,0.4289115472658628,-0.7360999090359055,-0.06512636904643004,-0.8712829110498056,-0.8118231378185505,-0.8179624864144519,-0.43054123279148304,-0.3193424043844184,-0.8085973394702656,0.19684304319022256,-0.4523271420946459,-0.6164839385740053,0.05014034495884838,-0.5557636828014801,-0.5559278791906013,-0.45352623382690455,-0.19675440240294026,-0.5764199288396147,-0.2324073053011362,-0.09322796427065082,-0.030025492695642288,-0.41814284341938474,0.3233052360208737,0.31173304946286584,0.09871399139385227,-0.06490300597927591,0.41205370732427404,0.31011693598578977,-0.3811933036099338,0.7959407594958514,1.3124909805566252
VISrl-IT,0.5313131601636957,0.3407892630560601,0.33710743880347216,0.38554710504733036,0.35624348968945013,0.30531678573082077,-0.7383963404472308,0.16422594334173635,-0.07778326408691538,-0.7125177381969462,-0.7652881556254003,-0.39204016798487257,-0.2916072407037266,-0.7502897936649587,0.3066068260717517,0.5244107098659518,-0.8804840294717379,1.1742596459943797,-0.28940255889995065,-0.2896862547721772,-0.16934287538220097,-0.26085900927033717,-0.3195568089656099,0.0030386278282162416,-0.0932279642706508,0.3000434798247637,0.1997292121192337,-0.5222292290217473,-0.5214093589833217,-0.4920725960037053,-0.43795175898473737,-0.5336379781237572,-0.5311220831959946,-0.3811933036099338,-0.5265323917261008,-0.6177650238533543
LGd-core,-0.9418215392316557,-0.6882474334183022,-0.4476541197596316,-0.281249498855691,-0.7001855731520217,0.46012464430727323,0.012876639536995143,-0.9083612975537912,-0.22190233200062487,1.2448744041601754,0.5560345482803947,0.04986657605554259,-0.3114363643316284,0.5582517144533985,0.679920733029162,0.05397178613842636,-0.3184193198185007,0.04128584608773087,0.8426989891995021,0.8419073905678977,0.07603405010185521,-0.4353012787347993,0.8659652827605661,-0.42396023775304204,-0.0932279642706508,0.3000434798247637,0.3693894053680143,-0.5222292290217473,-0.5214093589833217,-0.49207259600370523,-0.4379517589847373,-0.5336379781237572,-0.5311220831959946,-0.3811933036099338,-0.5265323917261008,-0.6177650238533543
