ptype,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,Length,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
VISrl-IT,0.09075463217230899,-0.6068529713415801,-0.6039956093376035,-0.6011054078225848,-0.054222147030450044,-0.45312181739302504,1.0779232867498436,-0.05720197094333006,-0.11059338440435387,0.31282227859597606,-0.17374495954490304,-0.5637835147765988,0.017460195572623745,0.6986821803865484,-0.071856516453133,0.0638050240794339,-0.17600360791064334,-0.32434855009725005
LGd-core,-0.12926007962865083,-0.12908894129262172,-0.12984616154816325,-0.13058366121237647,-0.054902147382376705,0.4287664619966492,-0.3279627293286877,-0.18460330309278708,-0.17622064654958908,-0.2572321664541294,0.712695558453721,0.09726805781502314,0.8022102003474663,-0.12675744939624742,-0.071856516453133,-0.42662086377284236,-0.5549876218492134,0.2425483499864891
MG-core,0.13649329827165566,-0.12198182900413852,-0.12032718622223985,-0.11866984706144024,-0.5959422187006518,-0.217871530355335,0.0552463495353468,-0.16160917182830448,-0.1643758961210709,-0.3716117090143125,0.1565905356274125,0.071391055332839,0.4862494440339717,-0.11331674993254415,-0.071856516453133,-0.5879716378214095,-0.5194683155411081,0.4088354794936381
SMT-core,-0.037313632905861684,0.9116403456664103,0.9082445317697628,0.9048041286749668,0.7751845592777189,-0.5785150088898733,-0.4958419467770728,0.5535165426160789,0.2039987949102814,0.36742394116225846,0.6225508624329925,1.2043631206045602,0.8641849024219987,-0.09268248286643639,-0.071856516453133,-0.31566746673938234,-0.5806622778994504,1.698639923647549
VPL-core,0.15879089799508714,0.2912374886864477,0.29171425276531615,0.2921690680439675,-0.4613422997985097,0.4024986547504124,-0.38514257597639023,-0.15533824404638724,-0.16114557017947712,-0.0912445558243885,0.11939746008177729,0.4523904965745446,0.9845310977255076,-0.43949353360157206,-0.071856516453133,-0.4062173545288948,-0.7300800063169006,0.8439564256521372
VPM-core,0.5437368290228756,-0.01294906820761664,-0.00792674722241364,-0.0029333400346226606,-0.6002905792399904,-0.26646464275738446,-0.34634835056558216,-0.406666221238174,-0.29060893391316217,-0.33733772171620635,-0.306444899074615,0.0726390650982569,0.7683646758753733,-0.551873573900816,-0.071856516453133,-0.3391709860457548,-0.5961562243862698,0.9273661283319896
LD-matrix,-0.1653818979840323,2.0770989140537024,2.0686308410128142,2.0600606140413666,0.5703561665837847,0.7581164176746239,0.2640395245960323,0.9726682139860959,0.41991032981452464,-0.10054736039835648,1.3006308549813124,0.5094424829945202,0.5393718989746874,-0.08412886371112341,-0.071856516453133,-0.3150523956069324,-0.5574230220221202,-0.07831336558554557
LP-matrix,-0.40150776172190944,0.7048711003353982,0.6988290899651591,0.6927769068737946,0.037635248143094116,0.41481807468952836,0.01681490128694349,0.2794555387181651,0.06282525000882591,-0.284454083734654,1.0491084757515414,0.7114094633443051,0.16927223383948553,-0.11032776471497657,-0.071856516453133,-0.2894741478049071,-0.26055761595621174,-0.012408520726189996
VM-matrix,-0.14937336484926098,2.659171410480477,2.648902997970209,2.638498679013553,0.9807217836428944,0.9966808753081513,0.2690675574562336,2.2050506931038676,1.0547344556750116,0.7900587886441351,2.052035606750983,2.0219835183148063,0.2541072293632069,0.1954249989061925,-0.071856516453133,-0.4793564616091464,-0.36562180522076676,0.17302100147860344
RT,-0.6569380330634814,0.3333233963285044,0.32618320426474784,0.31906972366769626,-0.8689756340276044,-0.9343927609928059,-0.6679134454542327,-0.6548397712146693,-0.3549410001036036,-0.9861691248647039,-0.9731909662585885,0.027288592593144857,0.3984029651334444,-0.9558124210486035,-0.23888150956540563,1.2913908850270264,0.5764511044267087,0.8445008214908388
CP-GPe,-0.662357915523489,-0.6809034014495802,-0.6847006336453231,-0.688413748491064,-0.6858823107540619,-0.8165105843692196,-0.9044385331716618,-0.8225190539789486,-0.5048219862169938,-0.9571045947435471,-1.0918730219413197,-0.18179892582631652,-1.2197345611457728,-0.6072118169440134,-0.071856516453133,0.4652994519166948,1.4441041637636305,-0.1556052725466868
CP-SNr,-0.7589783066213532,-0.6402522146368018,-0.6450709552445041,-0.6498018216644295,0.5596146700002564,-0.7879080564698416,-0.6367799986159958,-0.8700200453000384,-0.529290765759441,0.19421347088487426,-0.12899656929834827,0.3163797403185508,-0.8569754482948022,-0.7320979893113368,-0.071856516453133,0.8958133552162769,1.0634897498010225,-0.8465876558352591
ACB,-0.8839871631448788,-0.9422324595317273,-0.9471867723736218,-0.9520283997167324,-0.2403595637710625,-1.1520563855800057,-1.0028533512714963,-1.0494056318857876,-0.6216952339846422,-0.6566431917066541,-0.869795438222614,0.29060397062849236,-0.4336229143764969,-0.978114966658164,-0.071856516453133,1.401673903406697,1.561350713367552,-0.8571988336112807
OT,-1.3820304162266532,-0.8068788181351395,-0.8168504742645015,-0.8266859054324893,-0.9049671882556812,-1.188489616288833,-0.9554301074505729,-0.9751428391218169,-0.5834411872399617,-1.1771524666998263,-1.2459047158618122,0.2835479154163219,-0.2895194605023446,-0.8886959644906315,-0.071856516453133,0.3784032476360153,0.8191124660718807,-0.36826947067257493
