ptype,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
MOp-IT,0.086278270010101,0.3153439786868687,0.31674856262626266,0.31227601616161615,0.22818544737373736,0.31977638383838386,0.18813796262626262,0.4628387498989899,0.20554278888888888,0.131179141010101,0.10821105656565656,-0.0057619346464646455,-0.1460336606060606,-0.039690050202020204,-0.1007989,-0.07262959595959596,-0.1478010626262626,-0.17919910707070708
MOs-IT,0.30198634204545455,0.5910735340909091,0.5938323751136364,0.5942280294318182,0.8513982121022727,0.6791138190909091,0.24229126664772727,0.906338034659091,0.27752108636363637,0.6080745076136364,0.51147873125,0.30224247784090913,0.253238155625,0.3594059613636364,0.3041829230113636,0.2996495684090909,0.2847430522727273,0.2322570938068182
SSp-bfd-IT,-0.12490059386934674,0.6329641872361809,0.6260144396482412,0.6074138009497487,-0.0762472174874372,0.3582130013567839,0.25632469603015073,0.6713130240703519,0.34202375592964823,0.057005426984924626,0.099001302080402,0.33362874226130657,-0.33377572497487434,-0.5039977934673366,-0.3629538147236181,-0.3737824411055276,-0.37384009497487436,-0.2861570316080402
SSp-m-IT,-0.1696054511851852,0.5150398229629629,0.5069400711111111,0.4891108881481481,-0.03571927368148148,0.09041880180740741,0.401811949237037,0.5647656386444444,0.49460225377777783,0.05344952599999999,0.12034603962962961,0.14034460244444444,-0.31672659555555555,-0.3683343481481482,-0.27942251777777777,-0.2969751111111111,-0.26738564296296297,-0.24205032466666668
SSp-n-IT,-0.1682143357142857,0.9244451657142857,0.9130804028571429,0.887259981,-0.24475269542857145,0.06186839714285715,0.36896533042857144,0.7116290928571428,0.6963227547571429,-0.05983860387142858,-0.09868166265714286,0.2813289328571429,-0.35387571142857144,-0.52016448,-0.37447477142857144,-0.3609200465714286,-0.3602257984285714,-0.22757330857142857
SSp-ul-IT,0.21046155859813084,0.9507950439252336,0.9525871636448598,0.9419191062616823,0.14412763308411214,0.709053816635514,0.17980655401869158,0.948661191588785,1.057204865046729,0.25755048355140187,0.4298672804672897,0.49249261998317756,-0.15373414009345795,-0.3206585637383178,-0.17301979439252335,-0.2422800074766355,-0.18321359518691588,-0.09100485420560747
SSs-IT,0.1414510804,0.21614016787499998,0.22525999568750002,0.22603701806249998,-0.1731803899375,-0.25286353512500004,0.13153423755,0.15454379099999999,0.44360587543749996,-0.26363461795625,-0.23279870818749998,-0.10801961731250001,-0.3401213789375,-0.42732762825000004,-0.40253555937499996,-0.35302619062499996,-0.38392470375,-0.2836644815625
VISp-IT,-0.011632006886792447,0.006932387452830191,0.012613007830188679,0.014878773459119497,-0.16056973632075472,0.03329405279874214,-0.21041059971698114,-0.06003555228616352,-0.1184023833427673,-0.10658293467924529,-0.12400848507861635,-0.09453016261320756,-0.1936402779874214,-0.3058019052012579,-0.22411196393081761,-0.1325338936163522,-0.10789545779874213,-0.1535188323899371
VISrl-IT,-0.09878219903846154,0.26505404365384616,0.2639963673076923,0.25951787692307693,-0.01708845961538462,0.08317709615384615,0.19729452211538462,0.2569208326923077,-0.18388347115384615,-0.023459007692307694,-0.028441759038461543,0.0332790673076923,-0.04629838461538461,-0.13233382307692307,-0.011848392307692317,0.012972623076923083,-0.058706019230769235,-0.04428977499999998
LGd-core,0.09189,0.5963780278723404,0.5962844234042552,0.5970658680851064,-0.03141707063829786,-0.2783444061702128,-0.19696581063829788,0.19494617872340425,-0.6230972212765957,0.046236723404255324,0.2485890680851064,0.5143294744680851,0.42110802765957445,0.10351912765957447,0.3664132340425532,0.42077860425531916,0.11139711063829788,0.7960610676595745
