region_name_r316,Stems_mean,Bifurcations_mean,Branches_mean,Tips_mean,OverallWidth_mean,OverallHeight_mean,OverallDepth_mean,Length_mean,Volume_mean,MaxEuclideanDistance_mean,MaxPathDistance_mean,MaxBranchOrder_mean,AverageContraction_mean,AverageFragmentation_mean,AverageParent-daughterRatio_mean,AverageBifurcationAngleLocal_mean,AverageBifurcationAngleRemote_mean,HausdorffDimension_mean
SMT,1.358072395655066,1.1362383988691778,1.1455725495047524,1.1555179447780743,0.9023968520119705,0.8137100787499381,0.7448927876782362,0.782637404356735,1.1405538284716543,0.9356888986206153,1.0581512669167699,0.8969972027629478,1.089906154386357,0.9827156487205452,1.0156576224849376,1.0347732104169047,0.952517706075828,1.1930133688041884
VPL,0.7439441231298644,0.7280292561332287,0.7299590098645165,0.7295761699641888,0.3432208688786445,0.35494843670004733,0.3557230355674313,0.6332155581184001,0.7317322946826068,0.3447961200109017,0.4092655115932851,0.543799439402598,0.4044384275185348,0.46675905774135024,0.39445357359427596,0.3949606665053496,0.3415648093941715,0.468754809963041
VPM,0.7775914642669557,0.6417665313730117,0.6408083238909307,0.6380036794062932,0.29016099758105246,0.33557584850687844,0.31975584430169884,0.562301340565737,0.8009267070595286,0.3253095071449263,0.3983030641572064,0.4607916356802217,0.35382390752215787,0.3441517389284509,0.33804392143173634,0.3416992275185584,0.30530028520794233,0.4047777929682778
LD,1.1921008500674946,1.1301347965140833,1.1506416983916905,1.1706480076976902,0.7497054129824213,0.5971070353356183,0.8277367861717309,1.1776639077306517,0.5595194004307721,0.6191654529552011,0.8945525101854284,0.6964924432380031,0.918252396423428,0.9358380572072439,0.7995578281369611,0.8902448655184158,0.7864966699944036,1.0547508919958897
LP,0.7485061486183519,1.1250414185417308,1.1275879081991889,1.1335857666864275,0.9211260389838026,0.8883821696008425,1.0261515398438006,1.1430648353629387,0.4830921845198333,0.9491102987983547,1.0710396081493514,1.1155035852074937,1.046655823386124,0.9053211472121425,1.1501368512512318,1.0783413095360574,0.9714825000546399,1.1722751159259546
VM,0.8367378647814204,1.0641582649555374,1.0568211763661135,1.052156742484303,0.8285484054769237,0.8053254865783636,0.9229857609980443,1.1445618739909107,0.6714550032141893,0.7739834800830899,0.8747932794577393,1.0656826983230796,0.9711588731613147,0.8063628175452807,0.9496298882920237,0.8983362720686298,0.7991302030264107,0.9480190627718897
RT,0.8775015716529093,0.4377478373109342,0.4288845232941186,0.4160923183921368,0.4469962531990098,0.8685597309495975,0.5238169705058368,0.35549522743035866,0.4079777926400615,0.6048655812333178,0.6831652032508074,0.5574823360422237,1.0192118545802025,1.0370903067029333,0.9747964965458629,0.9309215814498716,1.017044784433474,0.9762521416782208
ACB,0.823219695364383,0.6798554255691903,0.6781995703189858,0.6844211748444057,0.8660545066814289,0.8445024867381415,0.6888391928132538,0.5739223887933516,0.9414606499370645,0.9453284311501831,1.0237695514039877,1.0763243047625557,0.9975183974858467,0.8035235943405404,1.0887537902258646,1.1030197847645682,1.1559264467994892,1.053811962937126
CP,0.8343346596132402,0.7335404326678422,0.7368834403282517,0.7443541903681699,0.6828140697849113,0.6535680964073387,0.6774656793906911,0.5459231315974294,0.904685054309199,0.7569058347164146,0.8315047985109466,0.9010893034472491,0.8970950661648095,0.7542178317282475,0.9550339845241778,0.9137788919499733,0.9535264199013659,0.9618496920036768
OT,0.8278714552171546,0.6448957412188786,0.6414430254104817,0.6447828581441953,0.8255273504308333,0.879342760655686,0.8441341874667736,0.6287002153088416,0.8464127510764651,0.904810067417354,0.9185228805117769,0.9833692083724516,0.990075388945841,0.9703923180581251,1.0323519555251315,1.0380515170740354,1.0143678543277415,0.9966036042704199
