Manually_corrected_soma_region,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,Length,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension
SSp-un,0.49242328173566235,-0.016509890402189212,-0.011945948309564424,-0.007407509718031754,0.6431496722680845,1.2471210758674969,0.44842690545799135,0.3867967218648636,0.11811769428531771,0.6409476560211147,0.5500188096425416,-0.23141582315916934,-0.3768700068064582,0.4869769478310993,-0.071856516453133,0.3982858894937722,0.16655451978804572,-0.803845730392695
SSs,0.3172634293628048,0.1836571904987273,0.18594622028880906,0.18820944110947513,0.37767893934728225,0.3258909138530473,1.1330938397974661,0.7512079622461929,0.42503816069145195,0.7468525077272836,0.3980379235690811,-0.2677090308909137,-0.27570287957597317,0.8617850533084364,0.007096093244782748,0.1187975683413268,-0.0969813756685342,-0.45406238374699065
VISp,0.03272369955876292,0.010844599474490922,0.011103880934016729,0.011364876467669385,-0.5613488590028483,-0.6680012359602413,-0.10937682238848893,-0.09455898874590395,-0.12983710814681035,-0.7174957898823413,-0.7358386974431518,0.1438380222153479,-0.07669234807494782,0.18128301029443705,-0.071856516453133,0.49741565361003487,0.6690207120685603,0.05524352921570877
VISrl,0.007510259871498068,-0.5348962095172485,-0.5330424828889065,-0.5311547581050181,-0.12049370315107857,-0.39170049313650407,0.8958414689576024,0.0029492554165131578,-0.07960867804671838,0.19880172726828654,-0.06888299357746916,-0.5166087456438024,-0.041861785204954004,0.7214609716177528,-0.071856516453133,0.33612394027567294,-0.014627145209785555,-0.35790445731196374
LGd,-0.12926007962865083,-0.12908894129262172,-0.12984616154816325,-0.13058366121237647,-0.054902147382376705,0.4287664619966492,-0.3279627293286877,-0.18460330309278708,-0.17622064654958908,-0.2572321664541294,0.712695558453721,0.09726805781502314,0.8022102003474663,-0.12675744939624742,-0.071856516453133,-0.42662086377284236,-0.5549876218492134,0.2425483499864891
MG,0.11508760253716142,-0.14331481333737503,-0.14178499454467808,-0.14024994000106414,-0.6014503963909992,-0.24125506725461013,0.04050033024113061,-0.18012703100432553,-0.1739147708508821,-0.38492481038252413,0.12946444234127136,0.034864305518588046,0.5118555594692628,-0.12738239453389288,-0.071856516453133,-0.6592158965335364,-0.561165115099829,0.39860445146758544
SMT,-0.037313632905861684,0.9116403456664103,0.9082445317697628,0.9048041286749668,0.7751845592777189,-0.5785150088898733,-0.4958419467770728,0.5535165426160789,0.2039987949102814,0.36742394116225846,0.6225508624329925,1.2043631206045602,0.8641849024219987,-0.09268248286643639,-0.071856516453133,-0.31566746673938234,-0.5806622778994504,1.698639923647549
VPL,0.15879089799508714,0.2912374886864477,0.29171425276531615,0.2921690680439675,-0.4613422997985097,0.4024986547504124,-0.38514257597639023,-0.15533824404638724,-0.16114557017947712,-0.0912445558243885,0.11939746008177729,0.4523904965745446,0.9845310977255076,-0.43949353360157206,-0.071856516453133,-0.4062173545288948,-0.7300800063169006,0.8439564256521372
VPM,0.5437368290228756,-0.01294906820761664,-0.00792674722241364,-0.0029333400346226606,-0.6002905792399904,-0.26646464275738446,-0.34634835056558216,-0.406666221238174,-0.29060893391316217,-0.33733772171620635,-0.306444899074615,0.0726390650982569,0.7683646758753733,-0.551873573900816,-0.071856516453133,-0.3391709860457548,-0.5961562243862698,0.9273661283319896
LD,-0.08213752568322137,1.5648044558935674,1.558812967183344,1.5527429420930607,0.514726734419219,0.5310767879915832,0.188841545314155,0.6427797193487428,0.2499792374834114,-0.14763761622200802,1.1851072087660652,0.3502276371713323,0.3776191398378833,-0.1905857419954354,-0.071856516453133,-0.47445718685771004,-0.3562425249584228,0.04162519825270052
LP,-0.40150776172190944,0.7048711003353982,0.6988290899651591,0.6927769068737946,0.037635248143094116,0.41481807468952836,0.01681490128694349,0.2794555387181651,0.06282525000882591,-0.284454083734654,1.0491084757515414,0.7114094633443051,0.16927223383948553,-0.11032776471497657,-0.071856516453133,-0.2894741478049071,-0.26055761595621174,-0.012408520726189996
VM,-0.14937336484926098,2.659171410480477,2.648902997970209,2.638498679013553,0.9807217836428944,0.9966808753081513,0.2690675574562336,2.2050506931038676,1.0547344556750116,0.7900587886441351,2.052035606750983,2.0219835183148063,0.2541072293632069,0.1954249989061925,-0.071856516453133,-0.4793564616091464,-0.36562180522076676,0.17302100147860344
RT,-0.6569380330634814,0.3333233963285044,0.32618320426474784,0.31906972366769626,-0.8689756340276044,-0.9343927609928059,-0.6679134454542327,-0.6548397712146693,-0.3549410001036036,-0.9861691248647039,-0.9731909662585885,0.027288592593144857,0.3984029651334444,-0.9558124210486035,-0.23888150956540563,1.2913908850270264,0.5764511044267087,0.8445008214908388
ACB,-0.8839871631448788,-0.9422324595317273,-0.9471867723736218,-0.9520283997167324,-0.2403595637710625,-1.1520563855800057,-1.0028533512714963,-1.0494056318857876,-0.6216952339846422,-0.6566431917066541,-0.869795438222614,0.29060397062849236,-0.4336229143764969,-0.978114966658164,-0.071856516453133,1.401673903406697,1.561350713367552,-0.8571988336112807
CP,-0.6937667722904202,-0.6669834621369721,-0.671115120133305,-0.6751614792087627,-0.298720481425083,-0.840017980373822,-0.8169660775236854,-0.840561014567898,-0.5141157942338459,-0.6111123800489859,-0.7933843689496289,-0.020474742207674628,-1.1131694509911356,-0.6481389602342605,-0.071856516453133,0.5812174050889971,1.3199455590097433,-0.39233706610383906
OT,-1.3820304162266532,-0.8068788181351395,-0.8168504742645015,-0.8266859054324893,-0.9049671882556812,-1.188489616288833,-0.9554301074505729,-0.9751428391218169,-0.5834411872399617,-1.1771524666998263,-1.2459047158618122,0.2835479154163219,-0.2895194605023446,-0.8886959644906315,-0.071856516453133,0.3784032476360153,0.8191124660718807,-0.36826947067257493
