name,bnum,tebratio,pd2s_max,pd2s_min,pd2s_mean,pd2s_std,ed2s_max,ed2s_min,ed2s_mean,ed2s_std,binterval_max,binterval_min,binterval_mean,binterval_std,bdist2pb_max,bdist2pb_min,bdist2pb_mean,bdist2pb_std,neighborb_max,neighborb_min,neighborb_mean,neighborb_std,soma_region
18869_4453_x9586_y8809,972,0.0051440329218107,3385.45,1689.78,2355.4777263374485,389.29559353015156,1983.24,1251.8,1494.7398868312757,90.8582230764233,446.43,0.29,12.192746913580248,16.783961772366265,446.43332,0.29362,18.291943878600822,24.91327135451162,529.0,0.0,296.6975308641975,147.1496889982099,RT
pre_18465_00370,25,0.0,1027.61,8.28,404.31519999999995,221.04168251561364,805.31,8.15,215.05679999999995,189.61980792100806,75.52,0.0,16.3508,16.889906482867215,552.703,2.12002,53.237241999999995,111.68100702452985,16.0,1.0,9.84,5.542863279328954,DG
18462_00038,408,0.012254901960784314,8420.87,4.81,4577.15262254902,2421.1884164589146,3727.42,4.4,1970.9020098039216,1247.4686852669886,995.4,0.0,21.74031862745098,53.67909253679595,995.40161,0.39315,29.687942475490196,56.52257957180184,40.0,1.0,14.137254901960784,8.937444864246721,CP
18454_00093,762,0.007874015748031496,7323.98,59.88,2900.6548950131237,2089.668784287551,3547.88,8.36,1399.8291338582678,990.3957981441765,99.62,0.15,12.282926509186352,10.759815600926695,156.96776,0.1479,19.01954541994751,18.148377118799463,86.0,1.0,25.42257217847769,19.074373137521345,CP
18454_00139,1694,0.0035419126328217238,5992.99,1012.91,4687.729362455726,696.101042145312,3144.72,745.69,2704.4003719008265,378.22820214486285,175.73,0.31,11.152567886658796,9.662467706511706,175.72757,0.30619,16.145071658795747,13.757204855149165,300.0,3.0,102.46517119244392,71.68867458155921,VPM
236174_3536_x15159_y25525,2510,0.00039840637450199205,13489.65,0.94,7811.267310756972,2856.84349539618,7179.21,0.94,4352.7532988047815,1441.899946605132,856.27,0.32,27.398418326693225,44.98662061684581,2677.94287,0.31711,55.67972980478087,112.48683509105899,59.0,0.0,9.17211155378486,8.494521428780525,CLA
17781_6270_x9494_y43380,2757,0.003264417845484222,6665.8,21.21,3972.7940369967355,1736.4586717131833,3949.79,19.11,2623.458998911861,1202.2163894360608,658.23,0.26,12.079397896264053,18.147318809431784,658.22711,0.26082,19.914530471527023,33.07595608894731,88.0,0.0,24.465723612622416,15.195413271766574,AUDd
18454_01051,1245,0.001606425702811245,4905.57,613.6,4258.346915662651,800.6734602762857,2806.79,361.27,2382.2438795180724,488.9142029040019,59.04,0.26,11.102666666666666,7.772598818983098,137.88902,0.25686,17.31875890763052,14.554325262062573,219.0,2.0,84.89638554216867,60.46540847437834,VPM
17781_6866_x8954_y41812,4679,0.0014960461637101945,7989.28,20.84,3404.659130156016,1205.2345469879554,2803.67,20.41,1849.1647168198335,573.2776913253779,565.33,0.0,10.354609959393033,13.457779058980604,1969.04248,0.29257,17.41892244924129,39.57903302416737,151.0,0.0,36.261166916007696,26.736217412174046,VISl
18454_01114,619,0.0,6086.04,451.36,5451.462617124394,930.6625391128764,2840.45,375.18,2552.0819709208395,419.74017194720705,70.11,0.24,11.155638126009693,8.14628094537646,119.15619,0.23725,17.986539903069467,15.345851793894669,227.0,2.0,95.07915993537965,60.72151297361155,VPM
18455_00254,1236,0.0024271844660194173,4845.36,870.17,4318.144538834952,632.4462696332279,2987.64,747.69,2648.7193203883494,379.0249820972079,81.52,0.48,10.630995145631069,8.537367781963644,105.98605,0.48366,15.47175104368932,13.561705472942993,535.0,2.0,235.80258899676375,141.56287806742617,VPM
18463_00007,321,0.006230529595015576,8219.98,132.07,5607.772616822429,2004.7730074869153,4033.52,49.76,2975.4702492211836,1044.9363769791503,151.33,0.37,21.59214953271028,24.18399674997022,306.4389,0.37467,32.549734953271034,36.57753733246106,25.0,0.0,9.87538940809969,5.88510184075114,CP
18455_00043,1320,0.0015151515151515152,9481.05,1594.94,8555.123613636364,1248.112278461779,3016.46,805.61,2628.828106060606,339.8518543198771,79.07,0.3,10.833348484848486,7.094169182573511,145.45932,0.30484,16.487776856060606,13.55475321673063,190.0,2.0,75.1530303030303,52.72385818627167,LGd
17543_4868_x6727_y21047,912,0.0,2874.08,7.25,904.3544298245615,601.5692180331996,910.37,7.25,307.6069188596491,159.11121097178128,143.09,0.0,18.31516447368421,15.277937766917407,887.68036,0.73079,31.17160025219298,41.34532289807621,131.0,0.0,46.425438596491226,37.44954791003249,SSs
18867_6014_x17935_y4434,3764,0.0007970244420828905,14325.95,11.03,5419.7721679064825,4920.257219848009,6176.62,11.03,2531.090937832094,1987.488621873196,399.35,0.0,14.811501062699257,19.708475528526197,614.31445,0.20298,26.28567591126461,34.07095600365336,59.0,0.0,15.588204038257173,10.112780402404661,RSPd
18454_00142,2318,0.0021570319240724763,7598.46,1250.84,6206.71854184642,1047.151511879713,3086.86,897.25,2792.589892148404,205.9708166873002,118.67,0.38,11.005893011216566,8.12800274984817,184.94977,0.37808,16.48559402502157,14.12685952095549,305.0,0.0,91.77135461604831,71.46325861498063,VPLpc
18868_4192_x10967_y7007,1218,0.003284072249589491,10680.54,6.8,4596.891034482759,3738.872147047648,6600.71,6.8,2651.126691297209,2326.520823551844,261.74,0.2,11.932266009852217,14.083054858158103,287.03165,0.19717,20.005770977011494,23.698283630302733,161.0,1.0,46.88998357963875,39.084293140012846,SSp-ul
18864_4157_x3358_y13741,1420,0.0,6160.68,5.04,2228.569007042253,1810.571765528746,3337.48,5.04,964.8164577464789,796.7527685601304,1706.54,0.33,20.960042253521127,65.48532572361984,1706.54382,0.33335,38.304727359154924,86.73531928918095,120.0,0.0,23.47887323943662,25.23114240384188,MOp
17302_00020,2129,0.0018788163457022077,7760.03,623.99,6152.349342414279,1630.1103347730975,3617.65,351.94,3114.466481916393,770.7977932713653,64.88,0.18,9.352541099107562,6.736779825804009,93.2388,0.18343,14.147576223579145,11.214842930621739,805.0,2.0,312.37388445279475,238.01155867314216,VPL
18455_00106,697,0.0028694404591104736,2048.61,22.12,719.7522525107605,358.21228070267495,891.29,21.56,327.1452367288379,176.67344013576314,102.15,0.38,14.494318507890963,13.27181110373108,506.05661,0.37507,25.900500731707318,32.20882608078673,70.0,0.0,23.362984218077475,15.569789353325707,CP
18462_00043,485,0.002061855670103093,3799.67,192.88,1128.1122474226802,810.9967280393921,2741.87,54.73,651.9859999999999,689.0134024857872,277.47,0.39,21.303711340206185,22.66283482882243,340.43561,0.38979,33.70279435051546,36.61860770517701,48.0,0.0,13.48041237113402,9.89730991892502,CP
18453_2428_x13810_y8197,2774,0.0032444124008651765,6533.76,92.38,2244.3112545061285,2079.07011058938,4124.94,23.36,1437.1446250901224,1397.9627365717542,3289.95,0.32,15.308154289834171,73.16306378739706,3289.94775,0.32119,22.85712723864456,74.51516821740253,130.0,0.0,28.39581831290555,22.68921236077323,MOs
18869_4181_x21056_y5611,836,0.0,8698.57,114.09,3812.0587440191393,2765.959342976029,5977.75,29.74,2182.156937799043,1663.6472794192987,328.37,0.4,17.3941985645933,19.903429739741746,328.37408,0.40192,29.168649677033496,31.68089289062372,47.0,0.0,14.691387559808613,9.359255433205613,SSp-m
18457_00024,1098,0.0018214936247723133,5680.28,676.33,4965.732231329691,869.6402802415644,2617.04,530.46,2278.7613387978145,361.73869147173957,103.94,0.26,9.981293260473587,7.137100645119763,106.99693,0.2553,15.211198597449908,12.75292620818578,272.0,3.0,118.76684881602914,70.7619187566517,VPM
18868_5397_x19819_y6085,1232,0.003246753246753247,10771.62,97.13,5024.013198051948,3389.537379755897,5480.65,70.26,2471.468060064935,1493.0894474045494,103.3,0.19,11.708676948051949,10.78912388786077,192.84236,0.18674,20.452590974025973,22.353228354893474,54.0,0.0,19.46590909090909,12.26880652183421,RSPv
