name,withbbr,nobbr,axonal_tip_brs,axonal_tip_wb_brs,axonal_bif_brs,axonal_bif_wb_brs,bnums,withb_br_len,nob_br_len,w_br_tor,n_br_tor,withbbif,nobbif,withb_br_angle,nob_br_angle,withb_br_rangle,nob_br_rangle,soma_region,brain_region
18465_00089,285,48,166,152,167,133,4.196491228070175,79.83818814035088,112.04665999999999,0.17843525625,0.18130140000000006,133,34,87.46963458646617,87.63062352941176,76.97959015037594,73.9226911764706,VPM,TH
18452_4126_x15225_y20986,145,41,91,70,95,75,2.9448275862068964,70.70406468965518,67.75933585365853,0.18526342857142863,0.15167889999999995,75,20,79.39949066666668,73.970585,80.86060973333335,81.51015,OT,CNU
18869_4997_x13063_y4444,454,138,259,228,333,226,4.530837004405286,137.61677277533042,333.2668497681159,0.1638406134751773,0.13447944000000012,226,107,76.83415345132744,76.12735504672898,68.38832371681417,72.31370878504673,RSPv,CTX
18868_3715_x8453_y8977,211,83,144,118,150,93,4.9336492890995265,101.00908119431278,296.3483159036145,0.17670687735849044,0.15268383333333357,93,57,70.12281688172044,86.39128070175438,67.05544268817204,75.77307385964913,SSp-m,CTX
18454_01032,98,43,63,59,78,39,4.73469387755102,93.49082755102039,197.0982658139535,0.1424642424242425,0.2094897916666666,39,39,66.64266564102566,81.89532128205127,59.8771623076923,71.84883692307693,VPM,TH
191812_5154_x9610_y25921,128,284,205,44,207,84,4.625,443.672229921875,262.84071010563383,0.17533717647058833,0.16582196216216205,84,123,61.1843580952381,64.79158520325205,61.99583345238094,74.37410853658537,VISC,CTX
17302_00105,121,34,65,50,90,71,3.1322314049586777,60.409629917355375,81.53046294117647,0.20256419565217387,0.22915760000000007,71,19,89.12925774647888,101.30921578947368,83.51755760563378,111.53763157894736,CP,CNU
18458_00273,183,70,124,104,129,79,3.726775956284153,73.61425338797815,127.46230128571422,0.16165693137254888,0.1676166764705882,79,50,80.46277983037974,77.2020298,65.12161481012659,76.507634,VPM,TH
18454_01033,152,75,97,84,130,68,4.401315789473684,115.3637740131579,61.62228426666666,0.14659323595505624,0.1595890312499999,68,62,79.54291647058824,75.51955693548389,68.68407132352941,68.1315022580645,VPL,TH
17788_5767_x16636_y3662,441,207,319,195,329,246,3.2154195011337867,221.92650233560087,83.41495526570048,0.20588707122507122,0.22944072289156625,246,83,78.0489373244898,80.70845714469878,82.46072394308942,95.5437438554217,RSPv,CTX
18457_00129,220,46,120,108,146,112,4.754545454545455,81.65290364999998,121.27905869565217,0.1730044666666667,0.1520556666666667,112,34,66.78026017857142,74.77763382352943,60.90157178571428,66.38687647058823,VPM,TH
17545_00089,496,120,251,231,365,265,4.173387096774194,84.27814306451612,156.37491818333334,0.17358690909090913,0.17367366666666662,265,100,64.87945909018869,77.7108774,68.42712018867925,73.38833360000001,LP,TH
17781_5548_x15772_y8872,213,48,126,96,135,117,15.262910798122066,467.4734371361502,121.46282458333333,0.2293674682080924,0.16640361111111113,117,18,67.00886299145299,70.99073055555556,71.3393675213675,74.77686,VISC,CTX
18465_00112,179,76,125,91,130,88,3.977653631284916,152.60837972067037,135.95353723684212,0.11910057936507934,0.1367409047619047,88,42,71.80620909090909,83.92644523809524,60.726189204545456,78.8842119047619,LGd,TH
17545_00088,185,42,90,81,137,104,5.794594594594595,93.1235911891892,253.50696047619047,0.18844477192982456,0.27840260000000006,104,33,74.431905,85.73706787878788,67.18791596153847,81.8396987878788,LGd,TH
18457_00128,284,71,163,148,192,136,3.6690140845070425,67.60373521126759,83.51881423943664,0.18174266428571428,0.19430805555555564,136,56,79.72804044117647,81.28050553571428,76.0534357352941,79.07727857142858,VPM,TH
18864_5692_x8806_y3272,187,72,130,89,129,98,5.866310160427807,344.61484171123,79.12608402777778,0.17644333734939754,0.1078002222222223,98,31,70.00497948979593,65.94881903225806,67.96913775510204,67.24475161290323,AUDd,CTX
18465_00113,180,40,100,81,120,99,5.838888888888889,139.99142255555554,209.21208925000002,0.1285908175182482,0.15177170000000006,99,21,75.47681838383839,73.30842428571431,77.36389393939395,63.90813333333333,LGd,TH
18465_00053,151,22,74,59,99,92,5.1655629139072845,145.7016970860927,67.08272613636362,0.14243151063829784,0.06718824999999995,92,7,66.78076737641305,110.92558571428573,61.80598423913043,109.31984285714285,CA1,CTX
18465_00235,296,56,167,151,185,145,5.638513513513513,100.07759597972972,160.1691920892857,0.13847689673913044,0.2212115555555555,145,40,75.27188427586208,76.69869075,65.48594006896552,73.28145500000001,VPL,TH
18457_00068,252,60,161,143,151,109,3.6031746031746033,86.60306222222223,45.89287058333333,0.1546510787401575,0.15776276470588224,109,42,71.26827214770643,80.86375095238097,76.19181422018349,87.95242690476191,VPM,TH
18869_6854_x10735_y2978,350,64,214,187,200,163,3.5485714285714285,75.4183418857143,32.97580390624999,0.15146170760233912,0.10149566666666654,163,37,80.54060331288345,83.44626803513515,73.36737773006135,75.64737567567568,VISp,CTX
18465_00234,170,37,90,72,117,98,4.7,126.88693094117646,207.6965881081081,0.14896523214285717,0.17853125000000003,98,19,73.7106530612245,78.94197368421052,63.8604269489796,70.55535736842106,VPM,TH
15257_4149_x16164_y21238,147,48,90,67,105,80,6.993197278911564,223.0077021768708,79.35428541666667,0.21484022018348625,0.16802712500000005,80,25,70.58818089125,74.716072,71.686095125,64.3583928,ACAd,CTX
