name,avg_pbnum_ratios,no_child_br_wb_ratio,one_child_br_wb_ratio,two_child_br_wb_ratio,soma_region,brain_region
17109_6201_x4328_y6753,3.3766960752425863,0.03225806451612903,0.2903225806451613,0.6774193548387096,VISp,CTX
191803_8254_x7045_y21580,2.353416486698301,0.05714285714285714,0.3357142857142857,0.6071428571428571,PAR,CNU
pre_18455_00241,0.9047619047619048,0.0,0.3333333333333333,0.6666666666666666,NDB,CNU
17545_00026,1.8733781272524321,0.03982300884955752,0.23893805309734514,0.7212389380530974,CP,CNU
18458_00612,2.4969831508458182,0.05263157894736842,0.2631578947368421,0.6842105263157895,LP,TH
17545_00027,1.7240478521478524,0.047619047619047616,0.2916666666666667,0.6607142857142857,CP,CNU
18869_6454_x17703_y2478,1.6967881112176413,0.017142857142857144,0.1657142857142857,0.8171428571428572,RSPagl,CTX
18465_00241,3.4973497706616183,0.044585987261146494,0.2356687898089172,0.7197452229299363,VPM,TH
18869_3634_x5750_y7170,1.7036606799582579,0.02857142857142857,0.2,0.7714285714285715,SSp-m,CTX
18869_3321_x21485_y7678,2.736276924539621,0.0,0.1774193548387097,0.8225806451612904,SSp-m,CTX
18455_00119,1.6484781191031188,0.0379746835443038,0.2848101265822785,0.6772151898734177,CP,CNU
18458_00121,2.889974603174603,0.032679738562091505,0.19607843137254902,0.7712418300653595,VPM,TH
18869_5317_x6063_y4638,1.5426610372831302,0.009523809523809525,0.1761904761904762,0.8142857142857143,SSp-bfd,CTX
18454_01107,3.063587107337107,0.03333333333333333,0.12666666666666668,0.84,VPM,TH
17302_00031,1.334065934065934,0.03571428571428571,0.10714285714285714,0.8571428571428571,CP,CNU
18454_01106,2.40316091954023,0.0125,0.1375,0.85,VPM,TH
17302_00030,2.528255148805997,0.02631578947368421,0.21052631578947367,0.7631578947368421,CP,CNU
18864_00029,1.9060854978354982,0.023622047244094488,0.1968503937007874,0.7795275590551181,SSs,CTX
18869_3701_x7703_y4993,1.3595238095238094,0.01507537688442211,0.23618090452261306,0.7487437185929648,SSp-m,CTX
18453_7112_x9089_y4667,3.0241911440885647,0.03305785123966942,0.12396694214876033,0.8429752066115702,VISp,CTX
pre_18864_00442,1.9326488901023062,0.005376344086021506,0.16666666666666666,0.8279569892473119,SSp-bfd,CTX
18453_3945_x11262_y6434,1.982358413553128,0.033783783783783786,0.21621621621621623,0.75,SSp-ul,CTX
18464_00004,1.1015817901234568,0.05,0.23,0.72,CP,CNU
18453_6675_x10576_y3102,2.1815236606138817,0.0,0.14772727272727273,0.8522727272727273,VISp,CTX
18465_00349,1.163488210818308,0.024390243902439025,0.13821138211382114,0.8373983739837398,CP,CNU
18864_6581_x10729_y2199,1.5970807383768852,0.06976744186046512,0.36046511627906974,0.5697674418604651,TEa,CTX
18457_00114,1.3119895795468315,0.03680981595092025,0.25766871165644173,0.7055214723926381,CP,CNU
18455_00011,1.313317265855809,0.032520325203252036,0.1951219512195122,0.7723577235772358,CP,CNU
18465_00348,2.0981587888228628,0.026845637583892617,0.1610738255033557,0.8120805369127517,VPL,TH
18457_00115,1.227701733750121,0.013513513513513514,0.16216216216216217,0.8243243243243243,ACB,CNU
182724_2333_x7081_y21185,2.0114488715628487,0.05416666666666667,0.2875,0.6583333333333333,MOs,CTX
18463_00046,1.8098455503627915,0.07377049180327869,0.2786885245901639,0.6475409836065574,SMT,TH
18867_4831_x27808_y6496,2.064788105839263,0.010416666666666666,0.109375,0.8802083333333334,SSp-ul,CTX
18463_00047,2.4009576255079854,0.058823529411764705,0.29901960784313725,0.6421568627450981,SMT,TH
18461_4862_x17603_y2198,1.9223170554066251,0.010752688172043012,0.12903225806451613,0.8602150537634409,SSp-ll,CTX
17302_00078,2.951947637292465,0.018518518518518517,0.2037037037037037,0.7777777777777778,VPL,TH
17302_00079,1.9728864903575036,0.027624309392265192,0.292817679558011,0.6795580110497238,MG,TH
18453_6477_x30376_y5078,2.650383719133719,0.010752688172043012,0.17204301075268819,0.8172043010752689,VISp,CTX
18457_00055,2.7997316812131627,0.009523809523809525,0.18095238095238095,0.8095238095238095,VPM,TH
18453_3795_x13584_y5960,2.257035027816501,0.0,0.15625,0.84375,MOp,CTX
18455_5253_x25617_y13881,2.2389860993707145,0.045454545454545456,0.2545454545454545,0.7,VPM,TH
18457_00054,2.308693223443223,0.014598540145985401,0.24087591240875914,0.7445255474452555,VPM,TH
18465_00209,1.046296296296296,0.075,0.15,0.775,OT,CNU
18455_00150,3.899382157926462,0.02654867256637168,0.1415929203539823,0.831858407079646,VPM,TH
18047_7769_x31046_y13195,1.4446312576312577,0.014492753623188406,0.2608695652173913,0.7246376811594203,ENTl,CTX
18453_3678_x8938_y8684,2.1035738812508322,0.01020408163265306,0.12244897959183673,0.8673469387755102,SSp-m,CTX
191812_4446_x6677_y24393,2.334449448854593,0.0963855421686747,0.27710843373493976,0.6265060240963856,SSp-n,CTX
18454_01047,3.0618396481399577,0.045454545454545456,0.23863636363636365,0.7159090909090909,VPM,TH
18868_4192_x10967_y7007,1.6221699816929673,0.029197080291970802,0.1897810218978102,0.781021897810219,SSp-ul,CTX
182724_4472_x5247_y12162,2.22074642711111,0.02912621359223301,0.22330097087378642,0.7475728155339806,MOp,CTX
18465_00300,3.160257851197134,0.03553299492385787,0.14213197969543148,0.8223350253807107,MG,TH
18869_4662_x10221_y8547,1.4232171717171718,0.03825136612021858,0.2185792349726776,0.7431693989071039,RT,TH
18453_3935_x22928_y21885,1.3707675137362636,0.05,0.2625,0.6875,OT,CNU
18869_5123_x17555_y3609,1.3329439021985605,0.04081632653061224,0.25,0.7091836734693877,RSPagl,CTX
18453_6604_x9161_y4006,2.177899670065717,0.1292517006802721,0.35374149659863946,0.5170068027210885,VISrl,CTX
18453_6500_x34303_y12884,2.092042444625565,0.08888888888888889,0.3037037037037037,0.6074074074074074,TEa,CTX
17545_00166,3.175117310814553,0.009174311926605505,0.11926605504587157,0.8715596330275229,MG,TH
18868_3981_x30626_y12403,1.8211778702923738,0.030162412993039442,0.16009280742459397,0.8097447795823666,SSs,CTX
18864_5648_x4839_y28849,1.4394548068890172,0.1,0.23,0.67,SSp-bfd,CTX
17781_4874_x11466_y11924,2.771093596854482,0.005076142131979695,0.19796954314720813,0.7969543147208121,SSp-bfd,CTX
18869_4511_x11720_y4070,1.474187034695884,0.042483660130718956,0.24836601307189543,0.7091503267973857,MOp,CTX
18455_00126,2.8010893676216253,0.046511627906976744,0.32558139534883723,0.627906976744186,PVT,TH
18453_5113_x9557_y5782,2.0798944436531674,0.0410958904109589,0.0684931506849315,0.8904109589041096,SSp-bfd,CTX
18465_00018,1.3662044170518748,0.05194805194805195,0.2857142857142857,0.6623376623376623,CP,CNU
pre_18864_00247,1.7342411393781256,0.12121212121212122,0.3787878787878788,0.5,MOp,CTX
pre_18864_00021,1.6904597724769979,0.018779342723004695,0.24413145539906103,0.7370892018779343,VISpm,CTX
18455_00127,3.092376842308012,0.03015075376884422,0.23115577889447236,0.7386934673366834,CM,TH
18869_5571_x8792_y4549,1.4576763976763978,0.045662100456621,0.2054794520547945,0.7488584474885844,CA3,CTX
18457_00023,2.4537259146082677,0.07142857142857142,0.27380952380952384,0.6547619047619048,VPM,TH
18869_4302_x23433_y9053,1.997677688367146,0.042735042735042736,0.3333333333333333,0.6239316239316239,SSs,CTX
18464_00132,2.419886235629828,0.03319502074688797,0.25311203319502074,0.7136929460580913,VPLpc,TH
236174_3429_x12632_y10625,2.4409071242373312,0.06993006993006994,0.22377622377622378,0.7062937062937062,CLA,CTX
18464_00133,2.1035820994330665,0.022304832713754646,0.20074349442379183,0.7769516728624535,VPL,TH
18867_7583_x22567_y18119,1.7285037370800287,0.025974025974025976,0.22077922077922077,0.7532467532467533,PRNr,Other
182724_2247_x6785_y11803,2.0322507934274157,0.037109375,0.19921875,0.763671875,MOs,CTX
18455_4709_x21225_y13716,2.2006319297985963,0.027972027972027972,0.2517482517482518,0.7202797202797203,IAD,TH
18453_7309_x5442_y9199,2.229386351625157,0.022727272727272728,0.32954545454545453,0.6477272727272727,TEa,CTX
18867_5486_x20836_y5690,1.9722618184820286,0.008733624454148471,0.2183406113537118,0.7729257641921398,RSPv,CTX
18453_5766_x31719_y6139,3.1358370272633804,0.0,0.15625,0.84375,SSs,CTX
18454_01031,2.890828924162258,0.05555555555555555,0.24074074074074073,0.7037037037037037,VPM,TH
18453_3350_x8925_y9653,2.3236517477491043,0.00625,0.15,0.84375,SSp-m,CTX
18454_01030,2.694742063492064,0.018867924528301886,0.20754716981132076,0.7735849056603774,VPM,TH
18867_4621_x24147_y14734,1.5379785327337774,0.010040160642570281,0.18473895582329317,0.8052208835341366,RT,TH
17302_00106,1.368060629990756,0.05172413793103448,0.1810344827586207,0.7672413793103449,CP,CNU
18465_00111,1.815870904457861,0.06299212598425197,0.33858267716535434,0.5984251968503937,LGd,TH
pre_18454_00865,1.5299996969404863,0.0625,0.2767857142857143,0.6607142857142857,CP,CNU
18465_00110,1.8896514376533868,0.09482758620689655,0.22413793103448276,0.6810344827586207,LGd,TH
17781_6287_x8230_y11645,2.80694491603808,0.0,0.09701492537313433,0.9029850746268657,SSs,CTX
18454_00105,2.872119815668203,0.05,0.35,0.6,VPM,TH
17545_00110,2.1880125389316563,0.016483516483516484,0.2087912087912088,0.7747252747252747,VPM,TH
18458_00542,2.502856820234869,0.020689655172413793,0.20689655172413793,0.7724137931034483,VPM,TH
17545_00111,1.4611166693555357,0.031914893617021274,0.19148936170212766,0.776595744680851,CP,CNU
18462_00012,2.058264652014652,0.06097560975609756,0.2682926829268293,0.6707317073170732,VPM,TH
18453_5941_x24629_y3152,2.680465961439413,0.0070921985815602835,0.11347517730496454,0.8794326241134752,VISam,CTX
17545_00050,1.9171873996294426,0.019801980198019802,0.2079207920792079,0.7722772277227723,CP,CNU
18462_00013,2.62222861526659,0.0782608695652174,0.2,0.7217391304347827,VPM,TH
18869_6291_x15236_y3478,2.6247485922217235,0.01675977653631285,0.1564245810055866,0.8268156424581006,RSPv,CTX
18867_4768_x26326_y6150,2.7127370854859563,0.022598870056497175,0.1694915254237288,0.807909604519774,SSp-ul,CTX
18867_4513_x27588_y6824,1.431623719379934,0.041666666666666664,0.21875,0.7395833333333334,SSp-ul,CTX
18864_6956_x8154_y30811,2.1713553525729363,0.0,0.1702127659574468,0.8297872340425532,VISpor,CTX
18465_00050,1.0720490448431625,0.06666666666666667,0.23333333333333334,0.7,CP,CNU
pre_18864_00069,2.239857384757376,0.031818181818181815,0.1318181818181818,0.8363636363636363,MOp,CTX
18869_4026_x21667_y6102,1.238068783068783,0.02,0.16,0.82,SSp-m,CTX
182725_3762_x5563_y19178,2.1856889011137373,0.09507042253521127,0.34507042253521125,0.5598591549295775,MOp,CTX
17302_00046,1.7028307842547512,0.018518518518518517,0.2037037037037037,0.7777777777777778,CP,CNU
17302_00047,2.11459277752916,0.034482758620689655,0.25287356321839083,0.7126436781609196,CP,CNU
17545_00159,2.0697232093671722,0.0423728813559322,0.2033898305084746,0.7542372881355932,CP,CNU
18867_3832_x10338_y8748,1.192679320679321,0.05,0.3,0.65,SSp-m,CTX
17545_00158,1.5737194542096464,0.017241379310344827,0.25862068965517243,0.7241379310344828,CP,CNU
18869_4841_x18666_y8144,1.7623960453127123,0.034782608695652174,0.1391304347826087,0.8260869565217391,RT,TH
18457_00163,2.1859717527525744,0.010101010101010102,0.16161616161616163,0.8282828282828283,VPM,TH
18869_4410_x8772_y3996,1.7089904932915387,0.01694915254237288,0.1694915254237288,0.8135593220338984,SSp-ul,CTX
18455_00201,2.681271533746781,0.03076923076923077,0.2230769230769231,0.7461538461538462,VPM,TH
18457_00162,1.935331998018565,0.006134969325153374,0.17177914110429449,0.8220858895705522,VPM,TH
18465_00159,1.2668308702791462,0.02727272727272727,0.19090909090909092,0.7818181818181819,CP,CNU
18455_00200,1.9143747218513574,0.051470588235294115,0.21323529411764705,0.7352941176470589,VPM,TH
18463_00031,2.5611428571428574,0.05925925925925926,0.2074074074074074,0.7333333333333333,VPM,TH
18454_01078,1.8608034810906053,0.007751937984496124,0.20155038759689922,0.7906976744186046,CP,CNU
18454_01079,1.5008069381598794,0.13194444444444445,0.3263888888888889,0.5416666666666666,VPM,TH
18458_00239,1.925,0.4166666666666667,0.375,0.20833333333333334,LGd,TH
236174_5840_x15240_y29741,3.161760710848158,0.0056179775280898875,0.20224719101123595,0.7921348314606742,TEa,CTX
pre_18454_00377,1.7751702823953153,0.0,0.13793103448275862,0.8620689655172413,AId,CTX
18864_6733_x9057_y31875,2.2360459463449893,0.0728476821192053,0.31788079470198677,0.609271523178808,AUDp,CTX
pre_18454_00376,1.0093253968253968,0.07766990291262135,0.27184466019417475,0.6504854368932039,CP,CNU
pre_18864_00003,2.5270242216784453,0.023474178403755867,0.11737089201877934,0.8591549295774648,MOs,CTX
18457_00001,1.2890625,0.05747126436781609,0.19540229885057472,0.7471264367816092,CP,CNU
191812_4322_x7645_y6848,1.9186026372241822,0.17880794701986755,0.3443708609271523,0.4768211920529801,SSp-n,CTX
18867_4957_x30093_y7560,1.8183556801803964,0.033444816053511704,0.25752508361204013,0.7090301003344481,SSp-n,CTX
18454_01080,2.5364414611605626,0.008264462809917356,0.14049586776859505,0.8512396694214877,VPM,TH
18454_01081,2.124818190186873,0.029411764705882353,0.18627450980392157,0.7843137254901961,VPM,TH
18461_4178_x16825_y2713,2.8052654926314906,0.007936507936507936,0.16666666666666666,0.8253968253968254,MOp,CTX
18458_00468,2.0283834890420165,0.041407867494824016,0.2422360248447205,0.7163561076604554,VM,TH
18869_5482_x15126_y4142,2.125,0.10606060606060606,0.36363636363636365,0.5303030303030303,RSPv,CTX
18454_01012,1.8432098765432097,0.018518518518518517,0.16666666666666666,0.8148148148148148,VPL,TH
18464_00183,2.093638131415909,0.04375,0.19375,0.7625,VPM,TH
17302_00124,2.049860368952661,0.056818181818181816,0.3409090909090909,0.6022727272727273,CP,CNU
18454_01013,2.8914763323402846,0.046511627906976744,0.13953488372093023,0.813953488372093,VPM,TH
