name,P1,P2,P3,P4,soma_region,brain_region
18463_00003,0.030636292223095052,0.0,0.08798114689709348,0.8813825608798115,VPM,TH
17545_00179,0.0,0.0,0.0,1.0,LGd,TH
18454_00146,0.04365079365079365,0.0,0.4642857142857143,0.49206349206349204,VPM,TH
pre_17543_01171,0.7302231237322515,0.028904665314401622,0.18407707910750506,0.056795131845841784,error,Other
18868_4739_x28536_y7468,0.2038793103448276,0.20991379310344827,0.503448275862069,0.08275862068965517,SSp-bfd,CTX
18465_00125,0.022332506203473945,0.0,0.2661290322580645,0.7115384615384616,VPM,TH
18454_01110,0.0,0.0,0.0652699435938759,0.934730056406124,VPM,TH
pre_18864_00048,0.582905982905983,0.24871794871794872,0.0547008547008547,0.11367521367521367,VISam,CTX
191812_3494_x7001_y8336,0.6286043829296425,0.18569780853517878,0.010380622837370242,0.17531718569780855,SSp-m,CTX
18454_01055,0.023890784982935155,0.0,0.006825938566552901,0.9692832764505119,VPM,TH
18454_00097,0.05405405405405406,0.08944658944658945,0.5424710424710425,0.31402831402831405,CM,TH
18465_00349,0.18435754189944134,0.21601489757914338,0.49906890130353815,0.1005586592178771,CP,CNU
17545_00047,0.23501199040767387,0.5203836930455635,0.16546762589928057,0.07913669064748201,CP,CNU
182725_2390_x8944_y12077,0.2616793893129771,0.05984732824427481,0.4650381679389313,0.2134351145038168,MOs,CTX
18868_3228_x28576_y10788,0.3119047619047619,0.3380952380952381,0.2841269841269841,0.06587301587301587,SSp-m,CTX
18465_00037,0.34306569343065696,0.005474452554744526,0.5109489051094891,0.14051094890510948,CP,CNU
18458_00564,0.06774809160305344,0.0,0.013358778625954198,0.9188931297709924,VPM,TH
18869_4301_x20547_y5218,0.3494363929146538,0.2286634460547504,0.18035426731078905,0.24154589371980675,SSp-un,CTX
pre_17543_01274,0.3278236914600551,0.16804407713498623,0.26170798898071623,0.24242424242424243,error,Other
18453_2632_x11687_y8383,0.770242914979757,0.03390688259109312,0.01720647773279352,0.17864372469635628,MOs,CTX
17545_00155,0.42093373493975905,0.4329819277108434,0.06852409638554217,0.07756024096385543,CP,CNU
18868_4434_x10947_y6887,0.321483771251932,0.04945904173106646,0.250386398763524,0.3786707882534776,SSp-ul,CTX
18458_00437,0.11995386389850057,0.0,0.05420991926182238,0.825836216839677,VPL,TH
18453_7304_x11719_y3749,0.33779608650875387,0.4253347064881565,0.20288362512873326,0.03398558187435633,VISp,CTX
18869_6076_x17177_y3306,0.16391275611368142,0.619960343688037,0.18374091209517515,0.03238598810310641,RSPagl,CTX
18458_00122,0.015371477369769428,0.0,0.16310845431255339,0.8215200683176772,VPM,TH
18454_01014,0.09297218155197658,0.0,0.0,0.9070278184480234,VPM,TH
18453_3564_x30226_y9677,0.4633846153846154,0.05846153846153846,0.16,0.3181538461538462,SSp-m,CTX
236174_3447_x12562_y10626,0.015949443274149863,0.2771591934998495,0.47758049954860066,0.22931086367739995,CLA,CTX
18463_00039,0.03502919099249374,0.0,0.0,0.9649708090075062,VPM,TH
17545_00143,0.37359792924935287,0.49352890422778256,0.05004314063848145,0.08283002588438308,CP,CNU
pre_18458_00373,0.5,0.2619047619047619,0.23809523809523808,0.0,DG,CTX
18869_5317_x6063_y4638,0.12268518518518519,0.7029320987654321,0.15200617283950618,0.022376543209876542,SSp-bfd,CTX
18455_00138,0.030414746543778803,0.0,0.03963133640552995,0.9299539170506912,VPM,TH
18867_4533_x14227_y15937,0.16479152878888154,0.4639311714096625,0.21972203838517537,0.15155526141628062,CP,CNU
17545_00006,0.507537688442211,0.12562814070351758,0.0,0.36683417085427134,CP,CNU
18454_00039,0.3057768924302789,0.43725099601593626,0.15239043824701196,0.10458167330677291,CP,CNU
18454_01106,0.07549668874172186,0.0,0.0026490066225165563,0.9218543046357616,VPM,TH
18458_00460,0.03558460421205519,0.0,0.2549019607843137,0.7095134350036311,VPM,TH
18464_00198,0.04259094942324756,0.0,0.5346051464063887,0.4228039041703638,LP,TH
18465_00133,0.03360151443445338,0.0,0.48793185044959775,0.4784666351159489,VPM,TH
18864_6057_x8520_y2391,0.5701451278507257,0.18106427090532135,0.12370421561852107,0.12508638562543192,AUDp,CTX
236174_3029_x12820_y24699,0.17463799912242212,0.250987275120667,0.4348398420359807,0.13953488372093023,MOp,CTX
18457_00108,0.2700587084148728,0.1643835616438356,0.021526418786692758,0.5440313111545988,CP,CNU
18454_01043,0.06741573033707865,0.0,0.0,0.9325842696629213,VPM,TH
17300_5571_x27063_y39610,0.5869281045751634,0.21045751633986928,0.12941176470588237,0.07320261437908497,VISa,CTX
18868_3009_x28076_y11485,0.44670542635658916,0.13630490956072353,0.31589147286821706,0.10109819121447028,MOp,CTX
236174_3893_x17507_y26071,0.2939046469523235,0.3509354254677127,0.235968617984309,0.1191913095956548,EPd,CTX
18455_00180,0.3996023856858847,0.027833001988071572,0.2047713717693837,0.36779324055666,CP,CNU
17302_00049,0.022044088176352707,0.0,0.0,0.9779559118236473,LGd,TH
18869_3064_x20999_y7621,0.26700680272108845,0.04421768707482993,0.4387755102040816,0.25,SSp-m,CTX
18868_4517_x31548_y11591,0.31597845601436264,0.4679832435667265,0.16935966487133453,0.0466786355475763,SSs,CTX
17545_00026,0.25848849945235486,0.3899233296823658,0.28313253012048195,0.06845564074479737,CP,CNU
17781_5361_x17741_y11849,0.29331941544885176,0.22860125260960334,0.3945720250521921,0.08350730688935282,CP,CNU
18463_00019,0.1407766990291262,0.09223300970873786,0.18932038834951456,0.5776699029126213,CP,CNU
17545_00163,0.0,0.02400893355667225,0.0,0.9759910664433278,MG,TH
18465_00328,0.02926829268292683,0.0,0.0,0.9707317073170731,VPL,TH
182724_2997_x5821_y12613,0.8020408163265306,0.09285714285714286,0.05,0.05510204081632653,MOs,CTX
18869_3504_x6554_y5961,0.3941798941798942,0.0,0.4312169312169312,0.1746031746031746,SSp-m,CTX
18465_00282,0.41422594142259417,0.0,0.18410041841004185,0.401673640167364,CP,CNU
18458_00102,0.09335324869305452,0.0,0.014936519790888723,0.8917102315160568,LGd,TH
18454_01034,0.0107421875,0.0,0.025390625,0.9638671875,VPM,TH
18465_00001,0.2849162011173184,0.0,0.33519553072625696,0.37988826815642457,CP,CNU
18464_00045,0.013941018766756031,0.00804289544235925,0.353887399463807,0.6241286863270777,VPM,TH
18457_00190,0.06536502546689305,0.0,0.02801358234295416,0.9066213921901528,VPM,TH
18453_6479_x9010_y4330,0.5309126594700687,0.13150147203140333,0.10304219823356231,0.23454367026496564,VISal,CTX
17545_00071,0.017192872772741483,0.061581744295092215,0.8130665833072835,0.10815879962488277,VAL,TH
18453_3316_x8214_y11076,0.18687589158345222,0.5734664764621968,0.19828815977175462,0.04136947218259629,SSp-m,CTX
17302_00086,0.5098314606741573,0.0702247191011236,0.0,0.4199438202247191,CP,CNU
18457_00128,0.017804154302670624,0.0,0.0956973293768546,0.8864985163204748,VPM,TH
17781_6287_x8230_y11645,0.1994535519125683,0.13296903460837886,0.5403005464480874,0.12727686703096538,SSs,CTX
18454_01063,0.037440435670524165,0.02654867256637168,0.2532334921715453,0.6827773995915589,VPM,TH
18458_00505,0.05336035123269166,0.36001350894967915,0.4444444444444444,0.14218169537318473,VM,TH
18465_00056,0.06508013598834386,0.0,0.017969888295288974,0.9169499757163672,LGd,TH
18457_00082,0.4558303886925795,0.10247349823321555,0.11307420494699646,0.3286219081272085,CP,CNU
236174_3729_x15151_y26698,0.02119513195678928,0.17133871188294816,0.5629700533296869,0.24449610283057568,AId,CTX
18864_00043,0.6853080568720379,0.09431279620853081,0.15165876777251186,0.06872037914691943,SSs,CTX
18454_01126,0.05235602094240838,0.0,0.0,0.9476439790575916,VPM,TH
18465_00113,0.05155420773313116,0.0,0.02047005307050796,0.9279757391963609,LGd,TH
17543_5334_x5066_y20381,0.7582017010935601,0.06804374240583232,0.0,0.17375455650060753,VISal,CTX
18455_00159,0.03806416530723219,0.02011963023382273,0.3621533442088091,0.5796628602501359,VPM,TH
18454_00058,0.09353421217827998,0.5053358443188951,0.2598870056497175,0.14124293785310735,RE,TH
17545_00067,0.707010582010582,0.11574074074074074,0.11177248677248677,0.06547619047619048,CP,CNU
18463_00058,0.048411497730711045,0.0,0.0,0.9515885022692889,VPM,TH
17545_00088,0.0605875152998776,0.0,0.0,0.9394124847001224,LGd,TH
17545_00122,0.47784200385356457,0.017341040462427744,0.04046242774566474,0.464354527938343,CP,CNU
18868_3419_x27168_y8481,0.6548821548821548,0.02861952861952862,0.2138047138047138,0.1026936026936027,MOp,CTX
18868_3783_x28846_y9268,0.4372586872586873,0.2876447876447876,0.08976833976833977,0.18532818532818532,SSp-m,CTX
18464_00141,0.2409288824383164,0.0899854862119013,0.18577648766328012,0.4833091436865022,CP,CNU
18465_00040,0.36701337295690933,0.20950965824665677,0.12927191679049035,0.29420505200594355,CP,CNU
18454_01075,0.021052631578947368,0.0,0.16271929824561404,0.8162280701754386,PO,TH
18464_00004,0.34096109839816935,0.15560640732265446,0.07093821510297482,0.43249427917620137,CP,CNU
182724_5793_x8695_y5510,0.5558232931726907,0.10200803212851406,0.0746987951807229,0.2674698795180723,AUDv,CTX
18458_00456,0.04766311892642295,0.0,0.08375751966682092,0.8685793614067562,VPL,TH
18454_01130,0.06070970500213767,0.006412997007268063,0.11799914493373237,0.814878153056862,VPL,TH
17545_00030,0.6171535114978247,0.16594157862026104,0.1305158483530143,0.08638906152889994,CP,CNU
18455_5472_x13482_y11733,0.04584221748400853,0.0,0.35074626865671643,0.603411513859275,VPM,TH
191812_3758_x8791_y24162,0.4964243146603099,0.22467222884386173,0.13528009535160906,0.1436233611442193,SSs,CTX
18465_00294,0.04445876288659794,0.002577319587628866,0.14755154639175258,0.8054123711340206,VPM,TH
17545_00175,0.048507462686567165,0.0,0.022761194029850745,0.9287313432835821,SMT,TH
18864_6581_x10729_y2199,0.36853295535081504,0.261516654854713,0.18214032600992205,0.18781006378454995,TEa,CTX
18465_00017,0.35597826086956524,0.005434782608695652,0.30434782608695654,0.3342391304347826,CP,CNU
18454_01022,0.0,0.0,0.530038346825735,0.469961653174265,LD,TH
18458_00114,0.048752834467120185,0.0,0.0,0.9512471655328798,VPM,TH
18864_00002,0.9276595744680851,0.03404255319148936,0.0,0.03829787234042553,SSp-bfd,CTX
18465_00152,0.027330405075646658,0.0629575402635432,0.2347486578818936,0.6749633967789166,MG,TH
18461_3871_x7813_y3857,0.6635446685878963,0.18371757925072046,0.15273775216138327,0.0,MOp,CTX
18458_00051,0.06980961015412511,0.0,0.0,0.9301903898458749,LGd,TH
18869_3547_x21769_y7449,0.21169354838709678,0.12701612903225806,0.23891129032258066,0.4223790322580645,SSp-m,CTX
18458_00616,0.046422487223168656,0.0,0.21550255536626917,0.7380749574105622,SMT,TH
18454_00131,0.020440251572327043,0.0,0.2389937106918239,0.7405660377358491,VPM,TH
18455_00030,0.733615221987315,0.113107822410148,0.08773784355179703,0.06553911205073996,CP,CNU
18463_00074,0.24299065420560748,0.014018691588785047,0.5327102803738317,0.2102803738317757,CP,CNU
17302_00116,0.01900739176346357,0.0,0.15311510031678988,0.8278775079197466,VPL,TH
18462_00030,0.01901743264659271,0.002641310089804543,0.6397253037506603,0.33861595351294244,VPLpc,TH
18454_00074,0.04667328699106256,0.0749751737835154,0.4811320754716981,0.3972194637537239,MD,TH
17302_00053,0.02736318407960199,0.0,0.1517412935323383,0.8208955223880597,VPM,TH
182725_2241_x9113_y11193,0.4430673896204493,0.20836560805577073,0.2773044151820294,0.07126258714175059,MOs,CTX
17109_1701_x8048_y22277,0.24034334763948498,0.22317596566523606,0.4184549356223176,0.11802575107296137,AId,CTX
18453_4899_x10111_y5917,0.5062166962699822,0.16074600355239788,0.16163410301953818,0.1714031971580817,SSp-bfd,CTX
18864_4120_x3320_y13563,0.6172607879924953,0.2620387742338962,0.09443402126328955,0.02626641651031895,MOp,CTX
pre_18864_00044,0.6750139120756817,0.16638842515303284,0.03951029493600445,0.11908736783528102,SSp-m,CTX
18453_3021_x27493_y8943,0.5072508485035483,0.2965134217834002,0.061400802221536564,0.13483492749151496,MOp,CTX
pre_18864_00414,0.5917135961383749,0.017699115044247787,0.24014481094127113,0.1504424778761062,MOs,CTX
18869_5692_x6534_y3440,0.48791985857395404,0.3871538008249853,0.09781968179139658,0.027106658809664112,SSp-bfd,CTX
18457_00057,0.040033361134278564,0.0,0.2627189324437031,0.6972477064220184,VPM,TH
18465_00083,0.04149659863945578,0.0,0.0326530612244898,0.9258503401360544,VPM,TH
191801_4180_x7440_y5386,0.5781399808245445,0.36433365292425696,0.05752636625119847,0.0,SSp-m,CTX
18457_00112,0.033843300880853036,0.05679184051923968,0.7044506258692629,0.2049142327306444,VM,TH
18454_01059,0.055350553505535055,0.0,0.0,0.9446494464944649,VPM,TH
182725_2917_x9391_y22263,0.339891167852658,0.21054834658853078,0.3017999162829636,0.14776056927584763,AId,CTX
17545_00159,0.6011673151750972,0.2733463035019455,0.07879377431906615,0.04669260700389105,CP,CNU
