id,parent_id,x,y,z,type,level,dist2soma,path_dist2soma,angle,angle_remote,angle_io1,angle_io1_remote,angle_io2,angle_io2_remote,radius,lcradius,rcradius,length,pathlength,contraction,lclength,lcpathlength,rclength,rcpathlength,width,height,depth,lslength,lspathlength,rslength,rspathlength,lstips,rstips,bnum,pbnum,lcbnum,rcbnum,dist2nb,neigborbs,interb_dist,uniform_bdist
121,104,9267.14,9790.08,5766,2,10,2219.19,1268.73,87.8389,55.0317,101.915,108.585,168.826,163.182,0.25,0.25,0.25,49.2666,51.4882,0.956853,9.41011,9.79689,179.294,188.89,42.8154,98.2402,17.0078,9.41011,9.79689,179.294,188.89,1,1,2,4,1,7,23.0901,28.5,23.0901,25.7441
122,106,9167.81,9884.67,5782.11,5,10,2352.78,1300.76,0,0,0,0,0,0,0.25,0,0,13.2994,13.6472,0.974514,0,0,0,0,28.7998,11.3281,2,0,0,0,0,0,0,1,0,0,0,13.6472,32,13.6472,13.6472
123,106,9167.81,9884.67,5782.11,5,10,2352.78,1421.76,0,0,0,0,0,0,0.25,0,0,131.424,134.653,0.976024,0,0,0,0,195.185,202.846,34.7441,0,0,0,0,0,0,2,0,0,0,14.6784,17.5,67.3264,67.3264
124,110,9015,10125,5822,2,11,2628.4,1449.56,0,0,0,0,0,0,0.25,0,0,19.4635,21.7015,0.896872,0,0,0,0,10.2227,39.9922,9,0,0,0,0,0,0,1,0,0,0,8.68785,17,8.68785,21.7015
125,110,9015,10125,5822,5,11,2628.4,1464.6,0,0,0,0,0,0,0.25,0,0,31.6075,36.7379,0.860352,0,0,0,0,3.21191,80.8945,6.39209,0,0,0,0,0,0,1,0,0,0,36.7379,17,36.7379,36.7379
126,113,8346,6037,8229,2,11,3849.37,9632.17,116.713,120.08,154.376,163.089,77.083,74.9712,2.5,2.75,2,60.7188,89.355,0.679523,16.8751,21.9794,60.3194,67.9971,81.3652,64.771,29,9934.63,11408.1,1338,1495.41,85,18,2,3,1,0,16.0513,31.5,16.0513,44.6775
127,113,8346,6037,8229,2,11,3849.37,9649.27,72.5238,37.8092,121.554,159.727,155.964,136.302,2,1.875,0.25,96.5032,106.449,0.906568,28.0379,28.5704,55.7127,59.0047,54.8643,86.6479,55.0479,1441.93,1591.42,660.436,724.93,12,6,0,3,2,1,0,0,0,0
128,114,8429,5958,8288,2,11,3876.56,9699.36,0,0,0,0,0,0,3.25,0,0,14.0067,42.0101,0.333413,0,0,0,0,18.2803,28.1177,11.4248,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,114,8429,5958,8288,5,11,3876.56,9711.27,31.4555,14.1055,165.196,172.824,162.967,168.267,0.25,0.25,0.25,48.5588,53.9164,0.900631,6.54774,6.65119,59.486,61.8513,110.024,36.4062,7.82129,394.831,443.411,245.389,277.272,6,2,4,4,1,1,12.1235,217.25,13.4791,13.4791
130,115,8192,6169,8320,2,11,3929.16,9876.61,165.612,130.962,166.598,146.918,1.04771,20.53,1.25,1.625,0.25,90.1093,96.734,0.931516,58.0864,67.4605,180.044,227.09,214.006,19.3521,16.8906,1187.65,1349.47,180.044,227.09,9,1,4,1,0,10,19.2563,203.5,21.3123,24.1835
131,115,8192,6169,8320,5,11,3929.16,10018.1,0,0,0,0,0,0,0.5,0,0,219.584,238.194,0.921872,0,0,0,0,472,249.102,12.0518,0,0,0,0,0,0,13,0,0,0,14.9483,192.077,18.3226,18.3226
132,116,8087.86,6216.26,8293.77,2,11,3959.16,9836.3,33.7311,91.96,152.973,166.912,167.938,75.1596,1,4,0.25,78.7832,92.8958,0.848082,50.7699,67.685,79.362,88.3753,120.863,42.6499,39.5215,50.7699,67.685,79.362,88.3753,1,1,5,0,0,6,11.8076,174.6,17.6959,18.5792
133,116,8087.86,6216.26,8293.77,2,11,3959.16,9879.79,0,0,0,0,0,0,0.375,0,0,83.3513,136.385,0.611145,0,0,0,0,195.159,24.7041,33.0615,0,0,0,0,0,0,5,0,0,0,7.41913,123,26.8257,27.2771
134,117,8085.57,6184.64,8307.98,2,11,3984.18,9763.25,83.5016,72.6307,132.656,162.364,143.144,121.794,3.25,2,0.75,15.0574,16.3466,0.921134,4.82478,4.82518,62.4433,67.1592,7.42383,15.2959,8.39258,861.77,1001.44,493.761,549.287,12,6,1,2,0,3,5.84341,196,5.84341,16.3466
135,117,8085.57,6184.64,8307.98,2,11,3984.18,9789.11,41.7502,28.5103,164.817,178.971,152.008,151.472,1.75,2,0.25,36.3216,42.2075,0.860548,33.8915,36.0474,4.25447,4.36566,86.208,22.9761,7.44727,887.101,969.284,487.483,532.918,5,3,0,2,1,0,0,0,0,0
136,118,8025,6317,8179,5,11,3890.13,9704.09,0,0,0,0,0,0,0.75,0,0,35.2795,36.4021,0.969161,0,0,0,0,33.8652,3.43701,21.1968,0,0,0,0,0,0,2,0,0,0,18.201,11,18.201,18.201
137,118,8025,6317,8179,2,11,3890.13,9856.41,0,0,0,0,0,0,1,0,0,168.801,188.716,0.894469,0,0,0,0,261.032,181.931,73.0078,0,0,0,0,0,0,10,0,0,0,8.67489,12.5,18.6227,18.8716
138,121,9224.32,9888.32,5783.01,5,11,2318.32,1278.53,0,0,0,0,0,0,0.25,0,0,9.41011,9.79689,0.960521,0,0,0,0,21.3125,3.32812,4,0,0,0,0,0,0,1,0,0,0,9.79689,29,9.79689,9.79689
139,121,9224.32,9888.32,5783.01,5,11,2318.32,1457.62,0,0,0,0,0,0,0.25,0,0,179.294,188.89,0.949201,0,0,0,0,252.288,295.68,50.9844,0,0,0,0,0,0,7,0,0,0,11.3889,21.2857,26.9842,26.9842
140,126,8427,6097,8258,2,12,3783.56,9654.15,161.346,91.1422,161.338,100.285,0,28.5853,2.75,2.5,1.5,16.8751,21.9794,0.767769,93.0164,125.095,94.8431,132.01,15.8652,24.6221,8.64062,9353.54,10795.2,752.068,848.095,80,5,1,0,2,0,11.5169,54,11.5169,21.9794
141,126,8427,6097,8258,2,12,3783.56,9700.17,50.0496,12.6173,174.141,175.554,134.058,163.923,2,2,0.25,60.3194,67.9971,0.887088,22.9534,24.7574,89.5528,106.844,26.3594,93,26.166,1168.7,1283.71,221.482,275.302,16,2,0,0,0,5,0,0,0,0
142,127,8291.14,6123.65,8283.78,2,12,3868.39,9677.84,54.1062,36.6022,163.911,161.908,111.259,136.448,1.875,1.75,0.25,28.0379,28.5704,0.981361,35.2463,35.7366,127.298,147.287,17.4717,12.9922,17.2158,1140.23,1249.69,436.207,496.181,9,3,2,0,2,3,9.96106,176,11.8123,14.2852
