id,parent_id,x,y,z,type,level,dist2soma,path_dist2soma,angle,angle_remote,angle_io1,angle_io1_remote,angle_io2,angle_io2_remote,radius,lcradius,rcradius,length,pathlength,contraction,lclength,lcpathlength,rclength,rcpathlength,width,height,depth,lslength,lspathlength,rslength,rspathlength,lstips,rstips
197,167,6697.9,1710.15,8858.25,2,11,2241.06,4899.82,49.5364,29.0669,145.764,154.246,157.72,170.301,1,1,1,104.386,116.435,0.896518,56.8944,62.8051,43.4268,46.7916,41.1201,82.6,49.7197,165.451,204.896,43.4268,46.7916,2,1
198,167,6697.9,1710.15,8858.25,2,11,2241.06,5043.41,0,0,0,0,0,0,1,0,0,233.697,260.018,0.898773,0,0,0,0,95.7798,161.25,140.28,0,0,0,0,0,0
199,168,6668,1704.25,8818.62,2,11,2234.37,4864.96,34.9768,28.2458,171.94,172.78,145.082,144.996,1,1,1,23.867,25.4109,0.939244,55.8936,59.5264,63.0352,67.1124,9.47998,12.35,18.0898,202.49,238.829,142.211,155.525,2,2
200,168,6668,1704.25,8818.62,2,11,2234.37,5001.03,0,0,0,0,0,0,1,0,0,146.068,161.483,0.904541,0,0,0,0,66.0801,94.04,90.8594,0,0,0,0,0,0
201,169,6508.9,1328.47,8892.88,2,12,2630.65,5298.3,68.8444,83.0247,128.995,128.861,153.019,129.744,1,1,1,16.0577,17.7938,0.902437,36.102,40.8493,25.0305,26.3379,13.48,3.96997,7.77051,421.819,483.704,25.0305,26.3379,4,1
202,169,6508.9,1328.47,8892.88,2,12,2630.65,5306.87,86.2377,31.53,140.442,154.785,129.198,123.993,1,1,1,24.8984,26.3687,0.944241,250.638,269.737,200.704,225.192,14.6699,11.35,16.6104,250.638,269.737,200.704,225.192,1,1
203,172,6598.3,1423.45,8950.75,2,12,2551.57,5442,52.6343,47.2118,125.64,119.743,155.833,165.575,1,1,1,294.931,322.099,0.915652,6.75175,8.76186,90.2428,102.659,163.66,215.15,118.63,6.75175,8.76186,90.2428,102.659,1,1
204,172,6598.3,1423.45,8950.75,2,12,2551.57,5138.72,0,0,0,0,0,0,1,0,0,12.9839,18.8148,0.690089,0,0,0,0,10.0996,2.80005,9.83984,0,0,0,0,0,0
205,173,6594.62,1299.62,8921.72,2,12,2653.41,5279.25,54.3462,71.3873,104.183,120.617,156.95,146.829,0.5,1,1,0.631414,0.631414,1,11.4676,12.016,89.2308,109.508,0.0400391,0.420044,0.469727,445.909,480.845,488.94,688.717,3,2
206,173,6594.62,1299.62,8921.72,2,12,2653.41,5501.58,0,0,0,0,0,0,1,0,0,191.311,222.959,0.858054,0,0,0,0,63.02,178.87,49.6396,0,0,0,0,0,0
207,174,6591.5,1310.88,8916.92,2,12,2641.78,5549.93,0,0,0,0,0,0,1,0,0,243.29,267.249,0.910348,0,0,0,0,161.12,139.38,119.17,0,0,0,0,0,0
208,174,6591.5,1310.88,8916.92,2,12,2641.78,5326.68,97.1624,45.8313,103.266,108.726,146.6,154.545,1,1,1,38.3171,43.9983,0.870878,26.746,32.6373,60.0345,80.2144,15.9702,15.47,32.0195,26.746,32.6373,60.0345,80.2144,1,1
209,177,6478.27,1330.7,8847.83,2,12,2618.23,5307.18,56.6999,52.371,167.082,161.753,133.779,133.101,1,1,1,9.59952,11.1335,0.862216,4.82239,4.93077,321.735,351.287,3.99023,8.07996,3.66016,509.543,575.966,321.735,351.287,3,1
210,177,6478.27,1330.7,8847.83,2,12,2618.23,5490.51,118.562,125.942,84.0563,133.734,149.337,89.1663,1,1,1,161.655,194.472,0.831249,12.5465,12.8485,22.2293,24.7048,79.3999,42.88,140.15,12.5465,12.8485,22.2293,24.7048,1,1
211,178,6466.1,1346.4,8871.45,2,12,2614.75,5292.61,101.412,49.8463,152.832,151.421,80.429,130.035,1,1,1,6.64517,7.56561,0.878339,15.0925,15.3541,97.3425,138.49,4.8999,3.68005,2.57031,350.66,385.891,97.3425,138.49,2,1
212,178,6466.1,1346.4,8871.45,2,12,2614.75,5326.54,42.2663,60.802,158.395,160.324,124.915,113.834,1,1,1,30.6053,41.503,0.737425,22.9967,26.2241,47.1218,52.2503,9.34961,29.4,7.62012,308.734,343.998,268.772,321.688,3,2
213,179,6534.9,1392.12,8885.33,2,12,2565.16,5216.9,87.3273,43.9046,119.724,162.594,143.321,152.971,1,1,1,4.84024,4.8487,0.998256,34.6245,38.809,48.5958,51.8021,2.93018,3.81995,0.5,351.862,439.854,384.469,434.741,2,2
214,179,6534.9,1392.12,8885.33,2,12,2565.16,5271.02,0,0,0,0,0,0,1,0,0,52.748,58.9726,0.89445,0,0,0,0,44,5.90002,29.4199,0,0,0,0,0,0
215,181,6556.3,1393.28,8978.1,2,12,2596.55,5287.17,0,0,0,0,0,0,1,0,0,35.3171,42.8263,0.824659,0,0,0,0,8.63037,25.1899,24.2803,0,0,0,0,0,0
216,181,6556.3,1393.28,8978.1,2,12,2596.55,5294.43,101.256,100.824,154.178,158.615,101.666,100.237,1,1,1,44.1351,50.0914,0.88109,54.843,59.0168,105.371,123.265,15.6299,40.66,9.44043,192.447,208.079,105.371,123.265,4,1
217,182,6540.62,1397.3,8993.12,2,12,2601.74,5266.57,43.8301,27.6643,161.824,157.941,144.998,172.437,1,1,1,14.6277,15.6521,0.93455,19.2356,25.4826,116.868,127.037,2.07031,13.9801,4,316.709,355.656,116.868,127.037,2,1
218,182,6540.62,1397.3,8993.12,2,12,2601.74,5300.19,80.5874,94.4873,120.546,133.134,148.762,119.071,1,1,1,46.5413,49.2715,0.944588,7.64118,7.81899,108.387,138.996,43.27,17.03,6.2002,7.64118,7.81899,108.387,138.996,1,1
219,184,6578.7,1428.88,8962.9,2,12,2554.68,5258.07,0,0,0,0,0,0,1,0,0,23.2924,24.2583,0.960182,0,0,0,0,5.9502,13.87,17.9199,0,0,0,0,0,0
220,184,6578.7,1428.88,8962.9,2,12,2554.68,5303.16,0,0,0,0,0,0,1,0,0,61.0914,69.3422,0.881013,0,0,0,0,57.2197,13.26,16.7998,0,0,0,0,0,0
221,185,6580.35,1404.1,8960.65,2,12,2575.82,5165.76,50.5474,61.5194,164.858,154.674,143.376,135.227,1,1,1,15.4296,17.1175,0.901391,8.0792,8.83348,41.3691,49.0038,2.60986,10.98,10.6504,1032.07,1197.91,535.014,664.417,14,4
222,185,6580.35,1404.1,8960.65,2,12,2575.82,5208.62,87.4634,101.88,103.473,96.1378,168.661,103.332,1,1,1,53.9786,59.9771,0.899988,66.3773,69.4248,345.991,435.045,15.25,12.51,50.8008,401.912,426.826,345.991,435.045,2,1
223,186,6551.8,1320.18,9012.88,2,12,2677.1,5299.63,59.6384,28.2683,160.417,171.498,139.631,145.507,1,1,1,34.9735,37.2155,0.939756,72.0639,81.0651,110.441,119.336,18.4199,23.5,18.21,72.0639,81.0651,110.441,119.336,1,1
224,186,6551.8,1320.18,9012.88,2,12,2677.1,5269.58,141.739,107.743,71.6959,73.9545,142.56,169.492,1,1,1,6.78073,7.17396,0.945188,26.8909,29.73,31.5017,35.1274,5.75,0.319946,3.58984,26.8909,29.73,31.5017,35.1274,1,1
225,187,6591.25,1429.95,9002.65,2,12,2568.12,5148.65,105.745,64.2193,131.103,97.0968,111.035,97.4831,1,1,1,21.1255,24.8989,0.848451,120.754,144.118,137.848,164.222,9.75,5.1499,18.1592,690.889,789.444,137.848,164.222,6,1
226,187,6591.25,1429.95,9002.65,2,12,2568.12,5293.17,0,0,0,0,0,0,1,0,0,155.862,169.417,0.919991,0,0,0,0,39.6699,73.6901,132.051,0,0,0,0,0,0
227,188,6614.95,1349.47,9055.98,2,12,2659.06,5278.9,0,0,0,0,0,0,1,0,0,39.3105,43.9169,0.895111,0,0,0,0,14.9004,4.70007,36.2197,0,0,0,0,0,0
228,188,6614.95,1349.47,9055.98,2,12,2659.06,5448.67,0,0,0,0,0,0,1,0,0,187.97,213.686,0.879655,0,0,0,0,26.0601,185.57,33.7998,0,0,0,0,0,0
229,189,6609.2,1396.4,8968.88,2,12,2581.64,5342.2,128.65,25.0263,136.575,127.494,92.6855,148.557,1,1,1,157.761,191.108,0.825509,3.31355,3.51442,80.5263,104.054,31.6699,153.05,38.2295,3.31355,3.51442,80.5263,104.054,1,1
230,189,6609.2,1396.4,8968.88,2,12,2581.64,5170.69,60.3918,67.3266,119.72,138.655,153.569,105.023,1,1,1,19.3655,19.603,0.987887,45.0994,48.6605,40.6654,60.99,19.2798,1.81995,0.200195,45.0994,48.6605,40.6654,60.99,1,1
231,190,6560.35,1347.75,8904.58,2,12,2608.42,5355.8,0,0,0,0,0,0,1,0,0,104.03,108.987,0.954518,0,0,0,0,75.9302,14.6801,69.9805,0,0,0,0,0,0
232,190,6560.35,1347.75,8904.58,2,12,2608.42,5514.61,0,0,0,0,0,0,1,0,0,241.235,267.795,0.900818,0,0,0,0,63.6802,210.15,107.24,0,0,0,0,0,0
233,191,6490.25,1363.85,8799.92,2,12,2568.89,5343.68,82.3764,82.9118,154.845,158.076,122.484,117.734,1,1,1,48.7896,51.9825,0.938577,46.7477,51.3542,26.0178,28.1589,35.7998,32.35,7.23047,270.1,307.379,26.0178,28.1589,2,1
234,191,6490.25,1363.85,8799.92,2,12,2568.89,5308,111.703,67.0473,145.673,147.388,41.0975,86.4955,1,1,1,12.3767,16.3077,0.758947,27.9402,34.3277,6.69857,7.5201,8.25977,9.63,4.73047,619.8,769.538,517.683,585.723,7,3
235,192,6523,1387.12,8861.12,2,12,2562.93,5409.55,64.2629,72.737,162.266,161.323,130.68,122.668,1,1,1,62.5908,68.0021,0.920425,36.9282,38.835,40.4549,46.7817,11.98,13.3,60.2998,289.281,323.61,301.697,340.698,3,2
236,192,6523,1387.12,8861.12,2,12,2562.93,5353.7,74.3778,39.2466,114.995,120.769,165.369,147.733,1,1,1,10.4391,12.1559,0.85877,150.249,179.897,100.899,110.698,3.64014,5.81006,7.89941,150.249,179.897,100.899,110.698,1,1
237,196,6677.45,1647.47,8756.88,2,12,2261.17,4949.83,0,0,0,0,0,0,1,0,0,25.4951,26.4691,0.963203,0,0,0,0,17.5703,9.43994,15.8799,0,0,0,0,0,0
