,prefix,region,max_density_apical,num_nodes_apical,total_path_length_apical,volume_apical,num_branches_apical,dist_to_soma_apical,dist_to_soma2_apical,num_hubs_apical,variance_ratio_apical
238,18867_6413_x20950_y6015,RSPv,106,106,235.3905,5727.7944,52,6.9511,0.0,1,0.3819509580583206
239,18868_5369_x19532_y5532,RSPv,160,160,318.7047,4722.9861,77,5.8615,0.0,1,0.4428210106468842
240,18868_5397_x19819_y6085,RSPv,102,102,218.3652,3077.5974,50,6.3236,0.0,1,0.42943724537895966
241,18868_5965_x17541_y6435,RSPv,122,122,261.8717,6240.639,60,8.3647,1.3868197431533889,1,0.4077524804794159
242,18868_5983_x17523_y5085,RSPv,151,151,315.3686,3513.7861,74,7.7172,10.498572950644276,1,0.5009627565556366
243,18868_6000_x19811_y5444,RSPv,118,118,289.246,6510.021,58,7.4869,0.7190556306712154,1,0.4894649941022442
244,18868_6196_x17668_y4955,RSPv,62,62,157.9574,3570.1877,30,7.1867,0.0,1,0.46560431256823737
245,18869_4997_x13063_y4444,RSPv,102,102,271.6533,10839.2735,50,10.8361,8.476830303834088,1,0.4033133658281663
246,18869_5444_x13271_y3998,RSPv,140,140,369.231,7675.9071,69,8.7347,7.425672090794196,1,0.38176055237375367
247,18869_5482_x15126_y4142,RSPv,20,20,72.803,3276.4804,9,6.9983,0.0,0,0.40118066079958714
248,18869_5684_x13521_y3699,RSPv,70,70,186.884,7471.0729,34,8.9619,1.3897157982839454,1,0.3746212633593283
249,18869_5694_x15073_y4098,RSPv,60,60,159.362,5232.8902,29,6.859,1.5742252062522843,1,0.5251314807235848
250,18869_5802_x13547_y4406,RSPv,108,108,271.4688,8946.4082,53,11.8879,15.760025475867737,1,0.47595236889574033
251,18869_6291_x15236_y3478,RSPv,102,102,236.609,5481.7156,50,6.883,9.635939549416015,1,0.5240558355011993
252,17543_2434_x11441_y5587,SSp-m,22,22,55.272,986.3176,10,3.3149,0.870913313711527,0,0.5803769440669708
253,182724_3848_x8903_y23965,SSp-m,104,104,243.673,4002.0239,51,10.9917,7.638043008519909,1,0.4891492581411791
254,18453_3316_x8214_y11076,SSp-m,22,22,48.1733,581.6651,10,2.8843,0.0,0,0.45235982485557197
255,18453_3350_x8925_y9653,SSp-m,10,10,32.6482,728.3172,4,3.2496,0.0,0,0.5566821360372977
256,18453_3564_x30226_y9677,SSp-m,29,29,50.7794,500.2324,13,3.4253,0.0,0,0.5886807813694923
257,18453_3579_x30397_y10103,SSp-m,44,44,89.7582,1223.6098,21,2.6263,0.0,0,0.4917841147621218
258,18453_3704_x10450_y7387,SSp-m,44,44,82.5966,1242.3134,21,4.0039,0.0,0,0.4305084958515813
259,18461_4545_x5749_y4914,SSp-m,46,46,75.0542,711.9255,22,4.1057,0.0,0,0.434775990214805
260,18470_3227_x19287_y16117,SSp-m,103,105,273.5589,8187.7343,51,14.3687,16.005632945935005,1,0.5806305083156091
261,18864_00040,SSp-m,70,70,141.3218,1271.3005,34,4.5473,0.0,1,0.3756452637282091
262,18867_3383_x10177_y11497,SSp-m,139,139,402.2094,12388.1298,67,10.791,9.53047207645036,1,0.3679461034036073
263,18867_3525_x9958_y10743,SSp-m,89,89,245.5588,12003.2758,42,10.9304,11.44585064553963,1,0.4158436593819179
264,18867_3801_x9223_y10977,SSp-m,90,90,248.6346,7891.4342,44,10.0294,7.55153130166326,1,0.44744906942455825
265,18867_3807_x9130_y11820,SSp-m,108,108,261.064,9882.3145,53,10.1982,6.300290628217092,1,0.4219308347433905
266,18867_3832_x10338_y8748,SSp-m,54,69,161.4772,6737.6961,33,10.8679,7.108050224921033,1,0.5606009277962762
267,18867_3855_x11412_y8044,SSp-m,132,132,296.2782,8392.4584,65,12.2315,12.537853644065246,1,0.512036995098166
268,18867_4052_x9852_y8712,SSp-m,99,99,220.4186,4559.51,48,11.7203,13.132456662787812,1,0.5700478279364967
269,18867_4156_x9348_y9148,SSp-m,80,82,209.2269,4251.8992,40,10.7733,8.566514343652258,1,0.5608101574495689
