,prefix,region,max_density_basal,num_nodes_basal,total_path_length_basal,volume_basal,num_branches_basal,dist_to_soma_basal,dist_to_soma2_basal,num_hubs_basal,variance_ratio_basal
361,17545_00046,CP,24,24,30.9019,70.9491,11,1.069,0.0,0,0.5290997187866331
362,17545_00047,CP,49,49,102.8756,750.4393,23,1.6759,0.0,0,0.41048527471194435
363,17545_00048,CP,63,63,89.4344,508.2149,30,0.647,0.0,1,0.39204350309677527
364,17545_00050,CP,53,53,120.2021,1275.5808,24,0.9843,0.0,1,0.41756200207170135
365,17545_00052,CP,29,29,85.2302,1576.2097,13,1.4771,0.0,0,0.38554914734644286
366,17545_00053,CP,39,39,88.0617,581.4972,18,1.1671,0.0,0,0.426512757116521
367,17545_00059,CP,40,40,81.1446,417.1335,18,1.1891,0.0,0,0.4891215777781417
368,17545_00060,CP,41,41,92.5768,546.2036,18,0.8284,0.0,0,0.5266170631773245
369,17545_00063,CP,47,47,73.1012,552.0279,22,0.4137,0.0,0,0.3456620298028642
370,17545_00064,CP,37,37,108.6264,775.2175,16,2.2007,0.0,0,0.469564529277074
371,17545_00065,CP,47,47,95.6008,630.6351,21,0.5983,0.0,0,0.4885498075739494
372,17545_00066,CP,49,49,71.5096,404.1987,23,0.5063,0.0,0,0.4314579650704332
373,17545_00067,CP,45,45,88.8341,359.2353,22,2.0559,0.0,0,0.5050526637542228
374,17545_00068,CP,56,56,64.4277,213.6179,26,1.7125,0.0,1,0.49374281144513377
375,17545_00073,CP,58,58,110.3681,429.2884,26,0.5279,0.0,1,0.5106034762046373
376,17545_00074,CP,53,53,105.4431,512.5878,23,1.0193,0.0,1,0.5572051888883234
377,17545_00111,CP,54,54,81.4287,420.1088,25,0.7629,0.0,1,0.5090650494579317
378,17545_00113,CP,41,41,85.0501,918.7179,18,1.8617,0.0,0,0.43390461698669475
379,17545_00115,CP,43,43,93.9053,358.8668,20,1.1818,0.0,0,0.4636245889913151
380,17545_00116,CP,43,43,109.3847,1101.8069,19,0.5488,0.0,0,0.422019501786142
381,17545_00118,CP,49,49,87.1796,450.8109,21,0.7469,0.0,0,0.37982495933251975
382,17545_00119,CP,57,57,104.9667,483.7168,27,0.6624,0.0,1,0.4164528656818857
383,17545_00120,CP,43,43,96.2537,624.4409,19,0.7464,0.0,0,0.4283836748278829
