,region_name_r316,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Cell name,formatted name,Soma_x,Soma_y,Soma_z,Registered_soma_region,Manually_corrected_soma_region,Cortical_layer,Transgenic_line,Brain_id,Subclass_or_type
999,AM,9907,12.5664,0.047035337602653826,0.18733475216832624,0.18415999128899044,0.17910478368696353,-0.748934833798372,-0.30552003731208127,0.09510256516697156,1.9998,-0.2408591399271172,60971.8,0.06201101188703534,-0.2333504108572379,-0.1619166061295841,-0.06624442251010595,0.04314276863102097,-0.2764637768807475,-0.1227634844512851,-0.051417193994899496,-0.11442013173204661,0.10453728222519237,17302_00023,17302_4033-X15030-Y27059,6368.975,4632.725,5263.875,AM,AM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_321237-17302,17302,TH_core
1000,VPM,6215,12.5664,-0.02650348772832659,-0.41894312209547374,-0.4259374631910673,-0.4282267729013696,-0.9835100298131301,-0.3837493259913979,-0.2378403745314509,1.99968,-0.7615656091157754,38562.5,-0.4743892776383082,-0.27715358342676927,-0.5456456845542451,-0.3613644550320714,0.04109924663904907,-0.2299026052497449,0.00578706902344239,-0.09541451900067802,-0.007603473936981535,0.31204977145646356,18465_00125,18465_5379-X24611-Y12908,7040.050000000001,3786.8,3753.25,VPM,VPM,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,TH_core
1001,RT,6383,12.5664,0.36075832647147016,-0.280762407057305,-0.2657093381448484,-0.24863941878839538,0.06381840658207773,0.9503332501805763,0.3913860209035928,1.99969,-0.025887965938240096,39599.8,0.263256454813343,0.4053195304111941,1.79523609099394,0.432759465433862,-0.07126516883635634,-0.018001718204029047,-0.06837048736213107,0.1148322689264386,0.29829751134926413,-0.09657290994430286,18869_4848_x18620_y8132,18869_4848-X18620-Y8132,6187.525,3742.025,4063.5,RT,RT,,Pvalb-T2A-CreERT2;Ai166_396477-18869,18869,
1002,SSp-m,12333,12.5664,0.2186630134671512,0.062087006563476745,0.03482361639204342,0.02153851356799252,1.4362430967354287,0.21051756013388837,0.521614102092646,1.99984,0.32235316974718325,76644.4,-0.13659207861169972,0.817856966019412,0.8529464608817674,0.009493909819432881,0.9068050527187522,1.6808093434609155,0.8319515742999455,0.5485270292786144,0.48775674838297217,0.6056754372720867,18453_3690_x8282_y9898,18453_3690-X8282-Y9898,4608.675,2794.475,2312.674999999999,SSp-m,SSp-m,4,Cux2-CreERT2;Ai166_374712-18453,18453,CTX_IT
1003,CP,4124,12.5664,-0.9427838933442168,-0.26459662615398044,-0.30821949346297994,-0.3467067967805728,-0.7508529604898595,0.2351708276660362,-0.47363660524718265,1.99952,-0.5755889066017679,25581.2,-0.5795495939147156,-0.35162482693400227,-0.21937113399708663,0.13459048860439857,-0.03711730553771049,-0.15257568910486521,0.052690216462580965,0.3494906648054671,0.2800601071406749,-0.0016275846095130135,18454_00024,18454_4678-X10866-Y7440,5672.775,2681.225,3762.575,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373367-18454,18454,CP_SNr
1004,CP,8536,12.5664,-0.6547353948395657,-0.3720337464910795,-0.3837014785900118,-0.3908953265601482,1.6212888730871866,0.23937695612872306,-0.13253830024944852,1.99977,0.20407954950135776,53034.6,0.4075997629436656,0.6754943459030287,0.6869078728212473,-0.2217809564751116,-0.04252476473312004,0.630520277088044,-0.1120036274430295,0.13832985862218714,0.4181572484233569,-0.3276628846021235,18463_00024,18463_3483-X10263-Y10098,4230.85,4462.775,3209.15,CP,CP,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_383680-18463,18463,CP_GPe
1005,VPM,4664,12.5664,-0.2013984925057265,-0.6878597594523956,-0.69545972732353,-0.7042886598713313,-1.1061924852001686,-0.8720618332232865,-1.3251451127231295,1.99957,-1.0362389804834453,28975.2,-0.4553855815237212,-1.3154136789246467,-1.4520645384533317,-0.7453454416885146,-0.582038670710393,-0.5065543337248876,-0.6672224746895271,-0.831800543012323,-0.7296432726235998,-0.45399242220730324,18462_00016,18462_5510-X10666-Y10190,6885.275,4030.300000000001,3884.075,VPM,VPM,,Tnnt1-IRES2-CreERT2;Ai82;Ai140_373641-18462,18462,TH_core
1006,CP,9412,12.5664,0.0881074244974185,0.3785572454465451,0.39698465130641664,0.40151535807451216,-0.0634366934130274,-0.17726275421602558,-0.5605240766815867,1.99979,-0.05687031393554685,58147.1,0.2085425467331926,-0.4607761051450583,0.13882145616717498,-0.20184987828049497,-0.5992110284011652,-0.7066976811960798,-0.6344504043913025,-0.5630080621517488,-0.4077510203686204,-0.5355058803800516,18465_00005,18465_3864-X8621-Y10614,5075.15,3422.824999999999,3044.375,CP,CP,,Vipr2-IRES2-Cre-neo;Ai166_383128-18465,18465,CP_SNr
1007,SSs,12265,12.5664,1.8264388526777398,0.35990265358035184,0.40759524000778935,0.46193434800415717,0.4700175345022175,1.1961424223554118,1.3610963779156706,1.99984,0.9486653180524405,76126.1,0.8316359839749504,0.8087594866582198,0.6202018435895339,-0.15774214068493403,0.9323584267938421,0.9805037689318583,0.6122019461473412,0.3982170407887867,0.7643179636607961,0.9354226299307842,191812_3758_x8791_y24162,191812_3758-X8791-Y24162,4587.525,3922.975,2049.725000000001,SSs,SSs,5,Plxnd1-CreER;Ai166-380470,191812,CTX_IT
1008,OT,6126,12.5664,-0.9427838933442168,-0.26459662615398044,-0.30821949346297994,-0.3467067967805728,-0.7508529604898595,0.2351708276660362,-0.47363660524718265,1.99967,-0.5755889066017679,37957.3,-0.5795495939147156,-0.35162482693400227,-0.21937113399708663,0.13459048860439857,-0.03711730553771049,-0.15257568910486521,0.052690216462580965,0.3494906648054671,0.2800601071406749,-0.0016275846095130135,191801_3966_x14363_y10542,191801_3966-X14363-Y10542,4598.925,6912.575,3736.575,OT,OT,,Cux2-CreERT2;Ai166_420489-191801,191801,
